56: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-2',56,3.36178
57: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-6',57,3.33868
58: param_1_biomass1='0.005', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-3',58,1.29054
59: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-7.5',59,3.33868
60: param_1_biomass1='0.015', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-4',60,2.53046
61: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-10',61,3.38139
62: param_1_biomass1='0.0005', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-3',62,3.46525
63: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-15',63,3.33868
64: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-0.5', param_4_gly2='-10',64,0.813531
65: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-6',65,3.38139
66: param_1_biomass1='0.03', param_2_biomass2='0.05', param_3_gly1='-7.5', param_4_gly2='-2',66,3.1448
67: param_1_biomass1='0.015', param_2_biomass2='0.03', param_3_gly1='-0.1', param_4_gly2='-7.5',67,2.17799
68: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-3',68,3.3783
69: param_1_biomass1='0.001', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-10',69,4.22564
70: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-3',70,3.38253
71: param_1_biomass1='0.05', param_2_biomass2='0.015', param_3_gly1='-2', param_4_gly2='-10',71,3.34371
72: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-3',72,3.33062
73: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.5', param_4_gly2='-7.5',73,3.36284
74: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-2',74,3.33062
75: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.1', param_4_gly2='-10',75,2.93304
76: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-10', param_4_gly2='-3',76,3.3783
77: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-7.5', param_4_gly2='-4',77,3.34549
78: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-1', param_4_gly2='-1',78,2.7302
79: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-6', param_4_gly2='-7.5',79,3.34549
80: param_1_biomass1='0.0005', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-20',80,2.20002
81: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-6', param_4_gly2='-6',81,3.34549
82: param_1_biomass1='0.01', param_2_biomass2='0.03', param_3_gly1='-3', param_4_gly2='-5',82,1.64373
83: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-7.5', param_4_gly2='-7.5',83,3.34549
84: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-0.1', param_4_gly2='-6',84,3.21474
85: param_1_biomass1='0.01', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-4',85,2.38567
86: param_1_biomass1='0.001', param_2_biomass2='0.0005', param_3_gly1='-0.5', param_4_gly2='-2',86,0.625391
87: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-10',87,3.3452
88: param_1_biomass1='0.0001', param_2_biomass2='0.02', param_3_gly1='-1', param_4_gly2='-0.5',88,1.24745
89: param_1_biomass1='0.02', param_2_biomass2='0.001', param_3_gly1='-6', param_4_gly2='-1',89,1.10604
90: param_1_biomass1='0.0005', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-0.5',90,0.431315
91: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-7.5', param_4_gly2='-5',91,3.3452
92: param_1_biomass1='0.0005', param_2_biomass2='0.02', param_3_gly1='-1', param_4_gly2='-0.5',92,0.434465
93: param_1_biomass1='0.02', param_2_biomass2='0.0001', param_3_gly1='-3', param_4_gly2='-20',93,0.403599
94: param_1_biomass1='0.005', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-1',94,1.44306
95: param_1_biomass1='0.015', param_2_biomass2='0.015', param_3_gly1='-6', param_4_gly2='-7.5',95,2.84125
96: param_1_biomass1='0.0005', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-0.5',96,0.431315
97: param_1_biomass1='0.015', param_2_biomass2='0.025', param_3_gly1='-4', param_4_gly2='-20',97,2.33409
98: param_1_biomass1='0.0005', param_2_biomass2='0.005', param_3_gly1='-2', param_4_gly2='-0.5',98,0.511995
99: param_1_biomass1='0.0001', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-3',99,0.936541
100: param_1_biomass1='0.0001', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-3',100,1.355
