biomass1	biomass2	gly1	gly2	fitness
0.01	0.01	-10	-10	2.38567		
0.01	0.005	-0.5	-2	2.92546		
0.02	0.0001	-0.5	-6	0.403599		
0.005	0.02	-5	-2	1.18771		
0.02	0.025	-0.5	-4	2.93304		
0.01	0.005	-3	-1	2.92546		
0.1	0.1	-1	-4	3.39166		
0.0005	0.05	-3	-0.1	2.9645		
0.1	0.03	-6	-4	3.35963		
0.0001	0.02	-10	-15	1.24745		
0.02	0.1	-6	-6	1.85527		
0.005	0.0005	-15	-1	0.917179		
0.025	0.001	-3	-3	1.0522		
0.01	0.02	-5	-2	1.86038		
0.03	0.001	-0.5	-20	1.01129		
0.03	0.015	-5	-15	3.38139		
0.03	0.001	-0.1	-0.5	1.01129		
0.025	0.025	-2	-6	3.32457		
0.1	0.001	-3	-2	0.813531		
0.05	0.0001	-5	-10	0.383765		
0.1	0.001	-0.1	-5	0.813531		
0.005	0.005	-5	-20	1.79114		
0.05	0.005	-0.1	-6	3.2303		
0.05	0.0005	-0.5	-0.1	0.618973		
0.05	0.05	-0.1	-5	3.38324		
0.1	0.015	-10	-0.1	3.3452		
0.025	0.05	-0.1	-1	2.72254		
0.001	0.015	-1	-7.5	0.547968		
0.1	0.05	-0.1	-15	3.36284		
0.1	0.0005	-15	-10	0.569345		
0.025	0.02	-0.1	-2	3.37276		
0.02	0.005	-10	-4	3.35105		
0.05	0.05	-20	-6	3.38324		
0.0005	0.015	-3	-2	0.431315		
0.03	0.015	-20	-4	3.38139		
0.005	0.02	-20	-10	1.18771		
0.03	0.1	-15	-6	2.56297		
0.0005	0.05	-0.1	-3	2.9645		
0.0001	0.02	-4	-7.5	1.24745		
0.05	0.02	-15	-5	3.34154		
0.1	0.05	-6	-20	3.36284		
0.05	0.025	-20	-6	3.36562		
0.1	0.03	-2	-15	3.35963		
0.03	0.025	-15	-7.5	3.38253		
0.001	0.005	-0.1	-6	0.68706		
0.03	0.05	-6	-20	3.1448		
0.01	0.025	-1	-4	1.73735		
0.03	0.03	-7.5	-7.5	3.3783		
0.03	0.1	-20	-10	2.56297		
0.03	0.025	-15	-6	3.38253		
0.03	0.015	-2	-4	3.38139		
0.03	0.03	-10	-20	3.3783		
0.01	0.02	-0.1	-2	1.86038		
0.03	0.025	-10	-4	3.38253		
0.03	0.015	-10	-15	3.38139		
0.1	0.01	-3	-2	3.36178		
0.03	0.02	-15	-6	3.33868		
0.005	0.015	-20	-3	1.29054		
0.03	0.02	-20	-7.5	3.33868		
0.015	0.02	-15	-4	2.53046		
0.03	0.015	-10	-10	3.38139		
0.0005	0.1	-2	-3	3.46525		
0.03	0.02	-20	-15	3.33868		
0.1	0.001	-0.5	-10	0.813531		
0.03	0.015	-15	-6	3.38139		
0.03	0.05	-7.5	-2	3.1448		
0.015	0.03	-0.1	-7.5	2.17799		
0.03	0.03	-7.5	-3	3.3783		
0.001	0.1	-4	-10	4.22564		
0.03	0.025	-10	-3	3.38253		
0.05	0.015	-2	-10	3.34371		
0.05	0.03	-7.5	-3	3.33062		
0.1	0.05	-0.5	-7.5	3.36284		
0.05	0.03	-7.5	-2	3.33062		
0.02	0.025	-0.1	-10	2.93304		
0.03	0.03	-10	-3	3.3783		
0.03	0.005	-7.5	-4	3.34549		
0.02	0.03	-1	-1	2.7302		
0.03	0.005	-6	-7.5	3.34549		
0.0005	0.025	-3	-20	2.20002		
0.03	0.005	-6	-6	3.34549		
0.01	0.03	-3	-5	1.64373		
0.03	0.005	-7.5	-7.5	3.34549		
0.015	0.01	-0.1	-6	3.21474		
0.01	0.01	-3	-4	2.38567		
0.001	0.0005	-0.5	-2	0.625391		
0.1	0.015	-10	-10	3.3452		
0.0001	0.02	-1	-0.5	1.24745		
0.02	0.001	-6	-1	1.10604		
0.0005	0.015	-0.1	-0.5	0.431315		
0.1	0.015	-7.5	-5	3.3452		
0.0005	0.02	-1	-0.5	0.434465		
0.02	0.0001	-3	-20	0.403599		
0.005	0.01	-3	-1	1.44306		
0.015	0.015	-6	-7.5	2.84125		
0.0005	0.015	-0.5	-0.5	0.431315		
0.015	0.025	-4	-20	2.33409		
0.0005	0.005	-2	-0.5	0.511995		
0.0001	0.1	-2	-3	0.936541		
0.0001	0.015	-15	-3	1.355		
