Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-10.0,-4.0,0.001,0.1,	4.225642	0.0	0.229713	0.078433	322
Yield	-3.0,-2.0,0.0005,0.1,	3.46525	0.0	0.227317	0.077277	322
Yield	-4.0,-1.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-6.0,-20.0,0.05,0.05,	3.38324	0.0	0.402645	0.184666	322
Yield	-5.0,-0.1,0.05,0.05,	3.38324	0.0	0.402645	0.184666	322
Yield	-7.5,-15.0,0.03,0.025,	3.382528	0.0	0.359351	0.185606	322
Yield	-6.0,-15.0,0.03,0.025,	3.382528	0.0	0.359351	0.185606	322
Yield	-4.0,-10.0,0.03,0.025,	3.382528	0.0	0.359351	0.185606	322
Yield	-3.0,-10.0,0.03,0.025,	3.382528	0.0	0.359351	0.185606	322
Yield	-6.0,-15.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-4.0,-2.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-4.0,-20.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-15.0,-5.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-15.0,-10.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-10.0,-10.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-7.5,-7.5,0.03,0.03,	3.378301	0.0	0.357087	0.181177	322
Yield	-3.0,-7.5,0.03,0.03,	3.378301	0.0	0.357087	0.181177	322
Yield	-3.0,-10.0,0.03,0.03,	3.378301	0.0	0.357087	0.181177	322
Yield	-20.0,-10.0,0.03,0.03,	3.378301	0.0	0.357087	0.181177	322
Yield	-2.0,-0.1,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-6.0,-20.0,0.05,0.025,	3.365617	0.0	0.397012	0.196483	322
Yield	-7.5,-0.5,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-20.0,-6.0,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-15.0,-0.1,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-2.0,-3.0,0.1,0.01,	3.361782	0.0	0.437781	0.200275	322
Yield	-4.0,-6.0,0.1,0.03,	3.359628	0.0	0.458447	0.200682	322
Yield	-15.0,-2.0,0.1,0.03,	3.359628	0.0	0.458447	0.200682	322
Yield	-4.0,-10.0,0.02,0.005,	3.351046	0.0	0.352854	0.199885	322
Yield	-7.5,-7.5,0.03,0.005,	3.345492	0.0	0.362152	0.199512	322
Yield	-7.5,-6.0,0.03,0.005,	3.345492	0.0	0.362152	0.199512	322
Yield	-6.0,-6.0,0.03,0.005,	3.345492	0.0	0.362152	0.199512	322
Yield	-4.0,-7.5,0.03,0.005,	3.345492	0.0	0.362152	0.199512	322
Yield	-5.0,-7.5,0.1,0.015,	3.345203	0.0	0.442004	0.1998	322
Yield	-10.0,-10.0,0.1,0.015,	3.345203	0.0	0.442004	0.1998	322
Yield	-0.1,-10.0,0.1,0.015,	3.345203	0.0	0.442004	0.1998	322
Yield	-10.0,-2.0,0.05,0.015,	3.343708	0.0	0.392412	0.199778	322
Yield	-5.0,-15.0,0.05,0.02,	3.341542	0.0	0.397549	0.199862	322
Yield	-7.5,-20.0,0.03,0.02,	3.338684	0.0	0.362558	0.190611	322
Yield	-6.0,-15.0,0.03,0.02,	3.338684	0.0	0.362558	0.190611	322
Yield	-15.0,-20.0,0.03,0.02,	3.338684	0.0	0.362558	0.190611	322
Yield	-3.0,-7.5,0.05,0.03,	3.330619	0.0	0.400162	0.195355	322
Yield	-2.0,-7.5,0.05,0.03,	3.330619	0.0	0.400162	0.195355	322
Yield	-6.0,-2.0,0.025,0.025,	3.324572	0.0	0.348793	0.182192	322
Yield	-6.0,-0.1,0.05,0.005,	3.230295	0.0	0.374245	0.194795	322
Yield	-6.0,-0.1,0.015,0.01,	3.214741	0.0	0.326633	0.183874	322
Yield	-2.0,-7.5,0.03,0.05,	3.144802	0.0	0.348897	0.163985	322
Yield	-20.0,-6.0,0.03,0.05,	3.144802	0.0	0.348897	0.163985	322
