1,2.38567
2,2.92546
3,0.403599
4,1.18771
5,2.93304
6,2.92546
7,3.39166
8,2.9645
9,3.35963
10,1.24745
11,1.85527
12,0.917179
13,1.0522
14,1.86038
15,1.01129
16,3.38139
17,1.01129
18,3.32457
19,0.813531
20,0.383765
21,0.813531
22,1.79114
23,3.2303
24,0.618973
25,3.38324
26,3.3452
27,2.72254
28,0.547968
29,3.36284
30,0.569345
31,3.37276
32,3.35105
33,3.38324
34,0.431315
35,3.38139
36,1.18771
37,2.56297
38,2.9645
39,1.24745
40,3.34154
41,3.36284
42,3.36562
43,3.35963
44,3.38253
45,0.68706
46,3.1448
47,1.73735
48,3.3783
49,2.56297
50,3.38253
51,3.38139
52,3.3783
53,1.86038
54,3.38253
55,3.38139
56,3.36178
57,3.33868
58,1.29054
59,3.33868
60,2.53046
61,3.38139
62,3.46525
63,3.33868
64,0.813531
65,3.38139
66,3.1448
67,2.17799
68,3.3783
69,4.22564
70,3.38253
71,3.34371
72,3.33062
73,3.36284
74,3.33062
75,2.93304
76,3.3783
77,3.34549
78,2.7302
79,3.34549
80,2.20002
81,3.34549
82,1.64373
83,3.34549
84,3.21474
85,2.38567
86,0.625391
87,3.3452
88,1.24745
89,1.10604
90,0.431315
91,3.3452
92,0.434465
93,0.403599
94,1.44306
95,2.84125
96,0.431315
97,2.33409
98,0.511995
99,0.936541
100,1.355
