1: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-15'
2: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-11'
3: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-14.5'
4: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-1.25', param_4_gly2='-12'
5: param_1_biomass1='0.07', param_2_biomass2='0.125', param_3_gly1='-0.5', param_4_gly2='-13'
6: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-1', param_4_gly2='-10.5'
7: param_1_biomass1='0.15', param_2_biomass2='0.15', param_3_gly1='-0.5', param_4_gly2='-13'
8: param_1_biomass1='0.025', param_2_biomass2='0.1', param_3_gly1='-0.7', param_4_gly2='-10'
9: param_1_biomass1='0.15', param_2_biomass2='0.125', param_3_gly1='-1.25', param_4_gly2='-13'
10: param_1_biomass1='0.01', param_2_biomass2='0.1', param_3_gly1='-1.75', param_4_gly2='-15.5'
11: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-1.25', param_4_gly2='-14.5'
12: param_1_biomass1='0.05', param_2_biomass2='0.01', param_3_gly1='-1.75', param_4_gly2='-11'
13: param_1_biomass1='0.15', param_2_biomass2='0.125', param_3_gly1='-0.7', param_4_gly2='-13'
14: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-1.25', param_4_gly2='-12'
15: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-1.5', param_4_gly2='-10.5'
16: param_1_biomass1='0.125', param_2_biomass2='0.07', param_3_gly1='-1.25', param_4_gly2='-15.5'
17: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-1.25', param_4_gly2='-10.5'
18: param_1_biomass1='0.1', param_2_biomass2='0.125', param_3_gly1='-0.7', param_4_gly2='-14.5'
19: param_1_biomass1='0.15', param_2_biomass2='0.15', param_3_gly1='-1.75', param_4_gly2='-13'
20: param_1_biomass1='0.15', param_2_biomass2='0.01', param_3_gly1='-1.25', param_4_gly2='-15'
21: param_1_biomass1='0.125', param_2_biomass2='0.1', param_3_gly1='-1.25', param_4_gly2='-11'
22: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-1.25', param_4_gly2='-16'
23: param_1_biomass1='0.07', param_2_biomass2='0.125', param_3_gly1='-1.25', param_4_gly2='-10'
24: param_1_biomass1='0.125', param_2_biomass2='0.025', param_3_gly1='-0.5', param_4_gly2='-10'
25: param_1_biomass1='0.07', param_2_biomass2='0.15', param_3_gly1='-0.7', param_4_gly2='-10'
26: param_1_biomass1='0.15', param_2_biomass2='0.07', param_3_gly1='-1.75', param_4_gly2='-10'
27: param_1_biomass1='0.07', param_2_biomass2='0.15', param_3_gly1='-1', param_4_gly2='-10'
28: param_1_biomass1='0.025', param_2_biomass2='0.07', param_3_gly1='-0.5', param_4_gly2='-15'
29: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-1', param_4_gly2='-10'
30: param_1_biomass1='0.15', param_2_biomass2='0.01', param_3_gly1='-2', param_4_gly2='-15.5'
31: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-1.25', param_4_gly2='-10'
32: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-1.75', param_4_gly2='-13'
33: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-0.5', param_4_gly2='-15'
34: param_1_biomass1='0.025', param_2_biomass2='0.07', param_3_gly1='-0.7', param_4_gly2='-11'
35: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-0.5', param_4_gly2='-11'
36: param_1_biomass1='0.05', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-15'
37: param_1_biomass1='0.1', param_2_biomass2='0.125', param_3_gly1='-0.1', param_4_gly2='-14'
38: param_1_biomass1='0.025', param_2_biomass2='0.1', param_3_gly1='-0.1', param_4_gly2='-12'
39: param_1_biomass1='0.1', param_2_biomass2='0.15', param_3_gly1='-0.1', param_4_gly2='-14'
40: param_1_biomass1='0.01', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-15'
41: param_1_biomass1='0.1', param_2_biomass2='0.125', param_3_gly1='-0.1', param_4_gly2='-14.5'
42: param_1_biomass1='0.15', param_2_biomass2='0.1', param_3_gly1='-1.5', param_4_gly2='-16'
43: param_1_biomass1='0.1', param_2_biomass2='0.125', param_3_gly1='-0.1', param_4_gly2='-15'
44: param_1_biomass1='0.01', param_2_biomass2='0.15', param_3_gly1='-1.5', param_4_gly2='-13'
45: param_1_biomass1='0.025', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-14.5'
46: param_1_biomass1='0.01', param_2_biomass2='0.125', param_3_gly1='-0.5', param_4_gly2='-11'
47: param_1_biomass1='0.05', param_2_biomass2='0.125', param_3_gly1='-0.5', param_4_gly2='-13'
48: param_1_biomass1='0.01', param_2_biomass2='0.125', param_3_gly1='-1.5', param_4_gly2='-12'
49: param_1_biomass1='0.125', param_2_biomass2='0.15', param_3_gly1='-2', param_4_gly2='-15.5'
50: param_1_biomass1='0.025', param_2_biomass2='0.15', param_3_gly1='-2', param_4_gly2='-14'
