Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-2.3916551032,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3916551032,0,0.0,SAT,,123.031,
2,2,1,-2.4109872041,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4109872041,1,0.0,SAT,,137.5,
3,3,1,-2.396832848,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.396832848,1,0.0,SAT,,109.958,
4,4,1,-2.4035093479,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4035093479,1,0.0,SAT,,135.061,
5,5,1,-2.3824230822,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3824230822,1,0.0,SAT,,132.697,
6,6,1,-2.345443666,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.345443666,1,0.0,SAT,,128.726,
7,7,1,-2.3916551032,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3916551032,1,0.0,SAT,,102.335,
8,8,1,-2.3162391973,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3162391973,1,0.0,SAT,,133.197,
9,9,1,-2.3916551032,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3916551032,1,0.0,SAT,,93.911,
10,10,1,-2.3162391973,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3162391973,1,0.0,SAT,,134.635,
11,11,1,-2.4125199971,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4125199971,1,0.0,SAT,,105.457,
12,12,1,-2.3975158079,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3975158079,1,0.0,SAT,,86.03,
13,13,1,-2.4035093479,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4035093479,2,0.0,SAT,,102.832,
14,14,1,-2.4325066818,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4325066818,2,0.0,SAT,,89.864,
15,15,1,-2.3992628366,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3992628366,2,0.0,SAT,,106.777,
16,16,1,-2.419960454,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.419960454,2,0.0,SAT,,92.977,
17,17,1,-2.3788173557,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3788173557,2,0.0,SAT,,95.066,
18,18,1,-2.4186031276,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4186031276,2,0.0,SAT,,79.755,
19,19,1,-2.3628429084,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3628429084,2,0.0,SAT,,66.91,
20,20,1,-2.4035093479,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4035093479,2,0.0,SAT,,99.738,
21,21,1,-2.4109872041,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4109872041,2,0.0,SAT,,93.192,
22,22,1,-2.4109872041,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.4109872041,2,0.0,SAT,,85.064,
23,23,1,-2.3518993685,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3518993685,3,0.0,SAT,,69.001,
24,24,1,-2.3628429084,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3628429084,3,0.0,SAT,,67.426,
