1: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-15'
2: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-0.8', param_4_gly2='-11'
3: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-0.8', param_4_gly2='-14'
4: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-11'
5: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-0.8', param_4_gly2='-12'
6: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-10.5'
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-0.8', param_4_gly2='-12'
8: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1', param_4_gly2='-10'
9: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1.2', param_4_gly2='-12'
10: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1.3', param_4_gly2='-15'
11: param_1_biomass1='0.08', param_2_biomass2='0.1', param_3_gly1='-1.2', param_4_gly2='-13'
12: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-1.4', param_4_gly2='-10.5'
13: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-10'
14: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.2', param_4_gly2='-11'
15: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-1.1', param_4_gly2='-10'
16: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-14.5'
17: param_1_biomass1='0.07', param_2_biomass2='0.09', param_3_gly1='-0.09', param_4_gly2='-10.5'
18: param_1_biomass1='0.09', param_2_biomass2='0.09', param_3_gly1='-0.09', param_4_gly2='-14'
19: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-1.1', param_4_gly2='-14.5'
20: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-10'
21: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1.1', param_4_gly2='-15'
22: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1.4', param_4_gly2='-10.5'
23: param_1_biomass1='0.09', param_2_biomass2='0.05', param_3_gly1='-1.3', param_4_gly2='-13'
24: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.8', param_4_gly2='-10'
25: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-1.3', param_4_gly2='-15'
26: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-10'
