Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-12.0,-0.8,0.08,0.09,	3.382423	0.0	0.473792	0.185517	322
Yield	-12.0,-0.09,0.08,0.09,	3.382423	0.0	0.473792	0.185517	322
Yield	-11.0,-0.7,0.08,0.09,	3.382423	0.0	0.473792	0.185517	322
Yield	-15.0,-1.2,0.1,0.09,	3.379737	0.0	0.507221	0.193823	322
Yield	-14.0,-0.8,0.1,0.09,	3.379737	0.0	0.507221	0.193823	322
Yield	-14.5,-1.5,0.07,0.09,	3.378817	0.0	0.457998	0.181929	322
Yield	-10.5,-0.09,0.07,0.09,	3.378817	0.0	0.457998	0.181929	322
Yield	-14.5,-1.4,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-14.5,-1.1,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-14.5,-0.8,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-10.0,-0.8,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-11.0,-1.4,0.05,0.08,	3.357628	0.0	0.413178	0.172787	322
Yield	-11.0,-1.0,0.05,0.08,	3.357628	0.0	0.413178	0.172787	322
Yield	-15.0,-1.0,0.09,0.05,	3.351899	0.0	0.467251	0.199896	322
Yield	-13.0,-1.3,0.09,0.05,	3.351899	0.0	0.467251	0.199896	322
Yield	-13.0,-1.2,0.09,0.05,	3.351899	0.0	0.467251	0.199896	322
Yield	-14.5,-1.5,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-14.0,-1.5,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-12.0,-1.5,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-11.0,-1.5,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-10.5,-1.2,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-10.5,-1.0,0.08,0.07,	3.345444	0.0	0.46569	0.192783	322
Yield	-14.0,-1.5,0.05,0.07,	3.334607	0.0	0.410854	0.177472	322
Yield	-15.0,-1.3,0.05,0.09,	3.316239	0.0	0.420419	0.171104	322
Yield	-15.0,-1.0,0.05,0.09,	3.316239	0.0	0.420419	0.171104	322
Yield	-14.0,-1.1,0.05,0.09,	3.316239	0.0	0.420419	0.171104	322
Yield	-11.0,-0.7,0.05,0.09,	3.316239	0.0	0.420419	0.171104	322
Yield	-10.0,-1.0,0.05,0.09,	3.316239	0.0	0.420419	0.171104	322
Yield	-11.0,-0.09,0.05,0.1,	3.308068	0.0	0.42362	0.166956	322
