1: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-15',1,3.39166
2: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-0.8', param_4_gly2='-11',2,3.41099
3: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-0.8', param_4_gly2='-14',3,3.39683
4: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-11',4,3.40351
5: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-0.8', param_4_gly2='-12',5,3.38242
6: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-10.5',6,3.34544
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-0.8', param_4_gly2='-12',7,3.39166
8: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1', param_4_gly2='-10',8,3.31624
9: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1.2', param_4_gly2='-12',9,3.39166
10: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1.3', param_4_gly2='-15',10,3.31624
11: param_1_biomass1='0.08', param_2_biomass2='0.1', param_3_gly1='-1.2', param_4_gly2='-13',11,3.41252
12: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-1.4', param_4_gly2='-10.5',12,3.39752
13: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-10',13,3.40351
14: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.2', param_4_gly2='-11',14,3.43251
15: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-1.1', param_4_gly2='-10',15,3.39926
16: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-14.5',16,3.41996
17: param_1_biomass1='0.07', param_2_biomass2='0.09', param_3_gly1='-0.09', param_4_gly2='-10.5',17,3.37882
18: param_1_biomass1='0.09', param_2_biomass2='0.09', param_3_gly1='-0.09', param_4_gly2='-14',18,3.4186
19: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-1.1', param_4_gly2='-14.5',19,3.36284
20: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-10',20,3.40351
21: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1.1', param_4_gly2='-15',21,3.41099
22: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1.4', param_4_gly2='-10.5',22,3.41099
23: param_1_biomass1='0.09', param_2_biomass2='0.05', param_3_gly1='-1.3', param_4_gly2='-13',23,3.3519
24: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.8', param_4_gly2='-10',24,3.36284
25: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-1.3', param_4_gly2='-15',25,3.39683
26: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-10',26,3.39391
27: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-1.1', param_4_gly2='-14',27,3.39683
28: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-0.09', param_4_gly2='-14',28,3.40351
29: param_1_biomass1='0.09', param_2_biomass2='0.05', param_3_gly1='-1.2', param_4_gly2='-13',29,3.3519
30: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-1.4', param_4_gly2='-14.5',30,3.36284
31: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-1.1', param_4_gly2='-14.5',31,3.39683
32: param_1_biomass1='0.09', param_2_biomass2='0.07', param_3_gly1='-1.4', param_4_gly2='-12',32,3.39995
33: param_1_biomass1='0.09', param_2_biomass2='0.09', param_3_gly1='-1.3', param_4_gly2='-14.5',33,3.4186
34: param_1_biomass1='0.05', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-11',34,3.35763
35: param_1_biomass1='0.09', param_2_biomass2='0.1', param_3_gly1='-1.2', param_4_gly2='-15',35,3.39731
36: param_1_biomass1='0.07', param_2_biomass2='0.09', param_3_gly1='-1.5', param_4_gly2='-14.5',36,3.37882
37: param_1_biomass1='0.09', param_2_biomass2='0.07', param_3_gly1='-1.3', param_4_gly2='-11',37,3.39995
38: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-0.7', param_4_gly2='-11',38,3.31624
39: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-11',39,3.41996
40: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1.1', param_4_gly2='-14',40,3.31624
41: param_1_biomass1='0.09', param_2_biomass2='0.07', param_3_gly1='-1.4', param_4_gly2='-13',41,3.39995
42: param_1_biomass1='0.1', param_2_biomass2='0.09', param_3_gly1='-1.2', param_4_gly2='-15',42,3.37974
43: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.2', param_4_gly2='-10.5',43,3.41996
44: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-14',44,3.39752
45: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-0.7', param_4_gly2='-14',45,3.41099
46: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-15',46,3.39683
47: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-0.09', param_4_gly2='-12',47,3.38242
48: param_1_biomass1='0.09', param_2_biomass2='0.1', param_3_gly1='-1.5', param_4_gly2='-14.5',48,3.39731
49: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-15',49,3.39752
50: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-0.09', param_4_gly2='-12',50,3.41996
51: param_1_biomass1='0.08', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-14.5',51,3.39683
52: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-0.7', param_4_gly2='-11',52,3.38242
53: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-14.5',53,3.39752
54: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-14',54,3.33461
55: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-14.5',55,3.40351
56: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-11',56,3.39391
57: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-12',57,3.43251
58: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-11',58,3.40351
59: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-12',59,3.40351
60: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.4', param_4_gly2='-12',60,3.43251
61: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-11',61,3.43251
62: param_1_biomass1='0.05', param_2_biomass2='0.1', param_3_gly1='-0.09', param_4_gly2='-11',62,3.30807
63: param_1_biomass1='0.07', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-15',63,3.40351
64: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.8', param_4_gly2='-14.5',64,3.36284
65: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1', param_4_gly2='-14',65,3.41996
66: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-14.5',66,3.34544
67: param_1_biomass1='0.08', param_2_biomass2='0.1', param_3_gly1='-0.7', param_4_gly2='-14',67,3.41252
68: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-12',68,3.34544
69: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-1.1', param_4_gly2='-14.5',69,3.39926
70: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-14',70,3.34544
71: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-0.09', param_4_gly2='-14.5',71,3.39391
72: param_1_biomass1='0.1', param_2_biomass2='0.09', param_3_gly1='-0.8', param_4_gly2='-14',72,3.37974
73: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-0.7', param_4_gly2='-14.5',73,3.38242
74: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-1.3', param_4_gly2='-14.5',74,3.38324
75: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-11',75,3.34544
76: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-15',76,3.38324
77: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-15',77,3.43251
78: param_1_biomass1='0.09', param_2_biomass2='0.1', param_3_gly1='-0.8', param_4_gly2='-10.5',78,3.39731
79: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-12',79,3.41996
80: param_1_biomass1='0.05', param_2_biomass2='0.09', param_3_gly1='-1', param_4_gly2='-15',80,3.31624
81: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-13',81,3.43251
82: param_1_biomass1='0.07', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-13',82,3.39926
83: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-11',83,3.43251
84: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-0.7', param_4_gly2='-14',84,3.43251
85: param_1_biomass1='0.09', param_2_biomass2='0.08', param_3_gly1='-1.5', param_4_gly2='-14.5',85,3.41996
86: param_1_biomass1='0.07', param_2_biomass2='0.05', param_3_gly1='-0.7', param_4_gly2='-11',86,3.39752
87: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-14.5',87,3.39391
88: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-0.7', param_4_gly2='-10',88,3.43251
89: param_1_biomass1='0.08', param_2_biomass2='0.07', param_3_gly1='-1.2', param_4_gly2='-10.5',89,3.34544
90: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.1', param_4_gly2='-10',90,3.43251
91: param_1_biomass1='0.1', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-13',91,3.39391
92: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-0.8', param_4_gly2='-10',92,3.43251
93: param_1_biomass1='0.09', param_2_biomass2='0.05', param_3_gly1='-1', param_4_gly2='-15',93,3.3519
94: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.3', param_4_gly2='-10',94,3.43251
95: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.2', param_4_gly2='-14',95,3.43251
96: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-0.09', param_4_gly2='-10',96,3.43251
97: param_1_biomass1='0.08', param_2_biomass2='0.09', param_3_gly1='-1.1', param_4_gly2='-15',97,3.38242
98: param_1_biomass1='0.08', param_2_biomass2='0.08', param_3_gly1='-1.4', param_4_gly2='-10',98,3.43251
99: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1.5', param_4_gly2='-10.5',99,3.41099
100: param_1_biomass1='0.05', param_2_biomass2='0.08', param_3_gly1='-1.4', param_4_gly2='-11',100,3.35763
