metabolite	cycle	x	y	conc_mmol
ca2_e	0	1	1	100.0
cbl1_e	0	1	1	0.001
cl_e	0	1	1	1000.0
cobalt2_e	0	1	1	1000.0
cu2_e	0	1	1	1000.0
fe2_e	0	1	1	1000.0
glycol_e	0	1	1	10.0
h2o_e	0	1	1	1000.0
h_e	0	1	1	1000.0
k_e	0	1	1	1000.0
mg2_e	0	1	1	1000.0
mn2_e	0	1	1	1000.0
mobd_e	0	1	1	1000.0
na1_e	0	1	1	1000.0
nh4_e	0	1	1	1000.0
ni2_e	0	1	1	1000.0
o2_e	0	1	1	1000.0
pi_e	0	1	1	1000.0
so4_e	0	1	1	1000.0
tpha_e	0	1	1	10.0
zn2_e	0	1	1	1000.0
34dhbz_e	1	1	1	0.0002707757248
C80aPHA_e	1	1	1	0.0032341632953
ca2_e	1	1	1	99.999994171
cbl1_e	1	1	1	0.001
cl_e	1	1	1	999.99999417
co2_e	1	1	1	0.12100419773
cobalt2_e	1	1	1	999.99999611
cu2_e	1	1	1	999.99999611
fe2_e	1	1	1	999.99997974
glycol_e	1	1	1	9.899
h2o_e	1	1	1	1000.2610633
h_e	1	1	1	1000.0126322
k_e	1	1	1	999.99978137
mg2_e	1	1	1	999.99999028
mn2_e	1	1	1	1000.0
mobd_e	1	1	1	999.99999611
na1_e	1	1	1	999.99999514
nh4_e	1	1	1	999.98534162
ni2_e	1	1	1	999.99999611
o2_e	1	1	1	999.83890859
pi_e	1	1	1	999.99870812
so4_e	1	1	1	999.99974653
tpha_e	1	1	1	9.9997292243
zn2_e	1	1	1	999.99999611
34dhbz_e	2	1	1	0.00027082770077
C80aPHA_e	2	1	1	0.0065939480733
ca2_e	2	1	1	99.999988239
cbl1_e	2	1	1	0.001
cl_e	2	1	1	999.99998824
co2_e	2	1	1	0.24450541077
cobalt2_e	2	1	1	999.99999216
cu2_e	2	1	1	999.99999216
fe2_e	2	1	1	999.99995913
glycol_e	2	1	1	9.7967217216
h2o_e	2	1	1	1000.5255642
h_e	2	1	1	1000.0252144
k_e	2	1	1	999.99955888
mg2_e	2	1	1	999.9999804
mn2_e	2	1	1	1000.0
mobd_e	2	1	1	999.99999216
na1_e	2	1	1	999.9999902
nh4_e	2	1	1	999.97042458
ni2_e	2	1	1	999.99999216
o2_e	2	1	1	999.67517326
pi_e	2	1	1	999.99739345
so4_e	2	1	1	999.99948858
tpha_e	2	1	1	9.9994549684
zn2_e	2	1	1	999.99999216
34dhbz_e	3	1	1	0.00027435218867
C80aPHA_e	3	1	1	0.0099954198239
ca2_e	3	1	1	99.999982233
cbl1_e	3	1	1	0.001
cl_e	3	1	1	999.99998223
co2_e	3	1	1	0.36956592691
cobalt2_e	3	1	1	999.99998816
cu2_e	3	1	1	999.99998816
fe2_e	3	1	1	999.99993825
glycol_e	3	1	1	9.6931421042
h2o_e	3	1	1	1000.7934289
h_e	3	1	1	1000.0379592
k_e	3	1	1	999.99933358
mg2_e	3	1	1	999.99997039
mn2_e	3	1	1	1000.0
mobd_e	3	1	1	999.99998816
na1_e	3	1	1	999.99998519
nh4_e	3	1	1	999.95531865
ni2_e	3	1	1	999.99998816
o2_e	3	1	1	999.50936218
pi_e	3	1	1	999.99606213
so4_e	3	1	1	999.99922737
tpha_e	3	1	1	9.9991771875
zn2_e	3	1	1	999.99998816
34dhbz_e	4	1	1	0.00027792252779
C80aPHA_e	4	1	1	0.013440178318
ca2_e	4	1	1	99.999976149
cbl1_e	4	1	1	0.001
cl_e	4	1	1	999.99997615
co2_e	4	1	1	0.49621770625
cobalt2_e	4	1	1	999.9999841
cu2_e	4	1	1	999.9999841
fe2_e	4	1	1	999.99991711
glycol_e	4	1	1	9.5882446764
h2o_e	4	1	1	1001.0647014
h_e	4	1	1	1000.0508662
k_e	4	1	1	999.99910541
mg2_e	4	1	1	999.99996025
mn2_e	4	1	1	1000.0
mobd_e	4	1	1	999.9999841
na1_e	4	1	1	999.99998012
nh4_e	4	1	1	999.94002053
ni2_e	4	1	1	999.9999841
o2_e	4	1	1	999.34144143
pi_e	4	1	1	999.99471387
so4_e	4	1	1	999.99896283
tpha_e	4	1	1	9.9988958364
zn2_e	4	1	1	999.9999841
34dhbz_e	5	1	1	0.0002815387469
C80aPHA_e	5	1	1	0.016928774623
ca2_e	5	1	1	99.999969989
cbl1_e	5	1	1	0.001
cl_e	5	1	1	999.99996999
co2_e	5	1	1	0.62448099901
cobalt2_e	5	1	1	999.99997999
cu2_e	5	1	1	999.99997999
fe2_e	5	1	1	999.9998957
glycol_e	5	1	1	9.4820126712
h2o_e	5	1	1	1001.3394254
h_e	5	1	1	1000.0639373
k_e	5	1	1	999.99887433
mg2_e	5	1	1	999.99994998
mn2_e	5	1	1	1000.0
mobd_e	5	1	1	999.99997999
na1_e	5	1	1	999.99997499
nh4_e	5	1	1	999.92452776
ni2_e	5	1	1	999.99997999
o2_e	5	1	1	999.17138416
pi_e	5	1	1	999.99334846
so4_e	5	1	1	999.99869493
tpha_e	5	1	1	9.9986108692
zn2_e	5	1	1	999.99997999
34dhbz_e	6	1	1	0.00028520143581
C80aPHA_e	6	1	1	0.020461766648
ca2_e	6	1	1	99.99996375
cbl1_e	6	1	1	0.001
cl_e	6	1	1	999.99996375
co2_e	6	1	1	0.7543763112
cobalt2_e	6	1	1	999.99997584
cu2_e	6	1	1	999.99997584
fe2_e	6	1	1	999.99987402
glycol_e	6	1	1	9.3744291083
h2o_e	6	1	1	1001.6176445
h_e	6	1	1	1000.0771746
k_e	6	1	1	999.99864032
mg2_e	6	1	1	999.99993958
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.99997584
na1_e	6	1	1	999.99996979
nh4_e	6	1	1	999.90883788
ni2_e	6	1	1	999.99997584
o2_e	6	1	1	998.99916319
pi_e	6	1	1	999.99196568
so4_e	6	1	1	999.99842362
tpha_e	6	1	1	9.9983222394
zn2_e	6	1	1	999.99997584
34dhbz_e	7	1	1	0.00028891119194
C80aPHA_e	7	1	1	0.024039719403
ca2_e	7	1	1	99.999957431
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99995743
co2_e	7	1	1	0.88592440973
cobalt2_e	7	1	1	999.99997162
cu2_e	7	1	1	999.99997162
fe2_e	7	1	1	999.99985206
glycol_e	7	1	1	9.2654767912
h2o_e	7	1	1	1001.8994034
h_e	7	1	1	1000.0905803
k_e	7	1	1	999.99840333
mg2_e	7	1	1	999.99992905
