Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-15.0,-0.5,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-14.5,-1.25,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-14.0,-0.1,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-11.0,-0.5,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-10.5,-1.25,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-10.0,-1.25,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-10.0,-1.0,0.1,0.15,	3.405279	0.0	0.542955	0.178996	322
Yield	-12.0,-1.25,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-15.5,-2.0,0.125,0.15,	3.398477	0.0	0.57963	0.186256	322
Yield	-10.5,-1.0,0.07,0.05,	3.397516	0.0	0.435585	0.192666	322
Yield	-15.0,-0.1,0.1,0.125,	3.395812	0.0	0.526489	0.18421	322
Yield	-14.5,-0.7,0.1,0.125,	3.395812	0.0	0.526489	0.18421	322
Yield	-14.5,-0.1,0.1,0.125,	3.395812	0.0	0.526489	0.18421	322
Yield	-14.0,-0.1,0.1,0.125,	3.395812	0.0	0.526489	0.18421	322
Yield	-15.0,-1.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-13.0,-1.25,0.15,0.125,	3.384676	0.0	0.596208	0.196526	322
Yield	-13.0,-0.7,0.15,0.125,	3.384676	0.0	0.596208	0.196526	322
Yield	-16.0,-1.25,0.05,0.05,	3.38324	0.0	0.402645	0.184666	322
Yield	-11.0,-0.1,0.05,0.05,	3.38324	0.0	0.402645	0.184666	322
Yield	-10.5,-1.5,0.1,0.025,	3.369379	0.0	0.451602	0.199554	322
Yield	-13.0,-1.75,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-13.0,-1.75,0.15,0.15,	3.362251	0.0	0.615382	0.192961	322
Yield	-13.0,-0.5,0.15,0.15,	3.362251	0.0	0.615382	0.192961	322
Yield	-14.5,-0.5,0.1,0.01,	3.361782	0.0	0.437781	0.200275	322
Yield	-15.5,-2.0,0.15,0.01,	3.361445	0.0	0.487466	0.200354	322
Yield	-15.0,-1.25,0.15,0.01,	3.361445	0.0	0.487466	0.200354	322
Yield	-10.0,-1.75,0.15,0.07,	3.360037	0.0	0.548662	0.201086	322
Yield	-16.0,-1.5,0.15,0.1,	3.357415	0.0	0.577071	0.200113	322
Yield	-11.0,-1.25,0.125,0.1,	3.34942	0.0	0.547301	0.19706	322
Yield	-11.0,-1.75,0.05,0.01,	3.347257	0.0	0.387356	0.199744	322
Yield	-15.5,-1.25,0.125,0.07,	3.346405	0.0	0.523005	0.200548	322
Yield	-12.0,-1.25,0.05,0.07,	3.334607	0.0	0.410854	0.177472	322
Yield	-10.0,-0.5,0.125,0.025,	3.334239	0.0	0.476214	0.199453	322
Yield	-10.0,-1.0,0.07,0.15,	3.319562	0.0	0.495531	0.168213	322
Yield	-10.0,-0.7,0.07,0.15,	3.319562	0.0	0.495531	0.168213	322
Yield	-13.0,-0.5,0.07,0.125,	3.314204	0.0	0.480938	0.174567	322
Yield	-10.0,-1.25,0.07,0.125,	3.314204	0.0	0.480938	0.174567	322
Yield	-15.0,-2.0,0.05,0.1,	3.308068	0.0	0.42362	0.166956	322
Yield	-13.0,-0.5,0.05,0.125,	3.303897	0.0	0.43291	0.15737	322
Yield	-14.5,-0.1,0.025,0.05,	2.722542	0.0	0.317055	0.147595	322
Yield	-15.0,-0.5,0.025,0.07,	2.452389	0.0	0.310156	0.131194	322
Yield	-11.0,-0.7,0.025,0.07,	2.452389	0.0	0.310156	0.131194	322
Yield	-12.0,-0.1,0.025,0.1,	2.213822	0.0	0.312296	0.114205	322
Yield	-10.0,-0.7,0.025,0.1,	2.213822	0.0	0.312296	0.114205	322
Yield	-14.0,-2.0,0.025,0.15,	1.981416	0.0	0.329855	0.094425	322
Yield	-15.5,-1.75,0.01,0.1,	1.108459	0.0	0.242346	0.080667	322
Yield	-15.0,-1.0,0.01,0.1,	1.108459	0.0	0.242346	0.080667	322
Yield	-12.0,-1.5,0.01,0.125,	1.036025	0.0	0.26631	0.080035	322
Yield	-11.0,-0.5,0.01,0.125,	1.036025	0.0	0.26631	0.080035	322
Yield	-13.0,-1.5,0.01,0.15,	0.982426	0.0	0.290831	0.079743	322
