biomass1	biomass2	gly1	gly2	fitness
0.1	0.1	-1	-15	3.39166		
0.05	0.05	-0.1	-11	3.38324		
0.1	0.01	-0.5	-14.5	3.36178		
0.05	0.07	-1.25	-12	3.33461		
0.07	0.125	-0.5	-13	3.3142		
0.07	0.05	-1	-10.5	3.39752		
0.15	0.15	-0.5	-13	3.36225		
0.025	0.1	-0.7	-10	2.21382		
0.15	0.125	-1.25	-13	3.38468		
0.01	0.1	-1.75	-15.5	1.10846		
0.1	0.15	-1.25	-14.5	3.40528		
0.05	0.01	-1.75	-11	3.34726		
0.15	0.125	-0.7	-13	3.38468		
0.07	0.1	-1.25	-12	3.39926		
0.1	0.025	-1.5	-10.5	3.36938		
0.125	0.07	-1.25	-15.5	3.3464		
0.1	0.15	-1.25	-10.5	3.40528		
0.1	0.125	-0.7	-14.5	3.39581		
0.15	0.15	-1.75	-13	3.36225		
0.15	0.01	-1.25	-15	3.36145		
0.125	0.1	-1.25	-11	3.34942		
0.05	0.05	-1.25	-16	3.38324		
0.07	0.125	-1.25	-10	3.3142		
0.125	0.025	-0.5	-10	3.33424		
0.07	0.15	-0.7	-10	3.31956		
0.15	0.07	-1.75	-10	3.36004		
0.07	0.15	-1	-10	3.31956		
0.025	0.07	-0.5	-15	2.45239		
0.1	0.15	-1	-10	3.40528		
0.15	0.01	-2	-15.5	3.36145		
0.1	0.15	-1.25	-10	3.40528		
0.1	0.05	-1.75	-13	3.36284		
0.1	0.15	-0.5	-15	3.40528		
0.025	0.07	-0.7	-11	2.45239		
0.1	0.15	-0.5	-11	3.40528		
0.05	0.1	-2	-15	3.30807		
0.1	0.125	-0.1	-14	3.39581		
0.025	0.1	-0.1	-12	2.21382		
0.1	0.15	-0.1	-14	3.40528		
0.01	0.1	-1	-15	1.10846		
0.1	0.125	-0.1	-14.5	3.39581		
0.15	0.1	-1.5	-16	3.35742		
0.1	0.125	-0.1	-15	3.39581		
0.01	0.15	-1.5	-13	0.982426		
0.025	0.05	-0.1	-14.5	2.72254		
0.01	0.125	-0.5	-11	1.03602		
0.05	0.125	-0.5	-13	3.3039		
0.01	0.125	-1.5	-12	1.03602		
0.125	0.15	-2	-15.5	3.39848		
0.025	0.15	-2	-14	1.98142		
