metabolite	cycle	x	y	conc_mmol
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.9999641
na1_e	6	1	1	999.99995511
nh4_e	6	1	1	999.86455828
ni2_e	6	1	1	999.9999641
o2_e	6	1	1	998.43117715
pi_e	6	1	1	999.98806321
so4_e	6	1	1	999.99765794
tpha_e	6	1	1	9.8825567602
zn2_e	6	1	1	999.9999641
34dhbz_e	7	1	1	0.018357207887
C80aPHA_e	7	1	1	0.064883341334
ca2_e	7	1	1	99.999936928
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99993693
co2_e	7	1	1	1.6404051334
cobalt2_e	7	1	1	999.99995796
cu2_e	7	1	1	999.99995796
fe2_e	7	1	1	999.9997808
glycol_e	7	1	1	9.1079450169
h2o_e	7	1	1	1002.3718184
h_e	7	1	1	999.8821621
k_e	7	1	1	999.99763428
mg2_e	7	1	1	999.99989487
mn2_e	7	1	1	1000.0
mobd_e	7	1	1	999.99995796
na1_e	7	1	1	999.99994744
nh4_e	7	1	1	999.84138615
ni2_e	7	1	1	999.99995796
o2_e	7	1	1	998.16073452
pi_e	7	1	1	999.986021
so4_e	7	1	1	999.99725725
tpha_e	7	1	1	9.8620929977
zn2_e	7	1	1	999.99995796
34dhbz_e	8	1	1	0.00040497167864
C80aPHA_e	8	1	1	0.080033038907
ca2_e	8	1	1	99.999927052
cbl1_e	8	1	1	0.001
cl_e	8	1	1	999.99992705
co2_e	8	1	1	1.9323936362
cobalt2_e	8	1	1	999.99995137
cu2_e	8	1	1	999.99995137
fe2_e	8	1	1	999.99974648
glycol_e	8	1	1	9.0001629184
h2o_e	8	1	1	1002.6724562
h_e	8	1	1	999.84461899
k_e	8	1	1	999.99726383
mg2_e	8	1	1	999.99987841
mn2_e	8	1	1	1000.0
mobd_e	8	1	1	999.99995137
na1_e	8	1	1	999.9999392
nh4_e	8	1	1	999.81654909
ni2_e	8	1	1	999.99995137
o2_e	8	1	1	997.87601222
pi_e	8	1	1	999.98383206
so4_e	8	1	1	999.99682777
tpha_e	8	1	1	9.8413662208
zn2_e	8	1	1	999.99995137
34dhbz_e	9	1	1	0.019085959662
C80aPHA_e	9	1	1	0.085775440001
ca2_e	9	1	1	99.999917744
cbl1_e	9	1	1	0.001
cl_e	9	1	1	999.99991774
co2_e	9	1	1	2.1473543343
cobalt2_e	9	1	1	999.99994517
cu2_e	9	1	1	999.99994517
fe2_e	9	1	1	999.99971413
glycol_e	9	1	1	8.8440758363
h2o_e	9	1	1	1003.0766427
h_e	9	1	1	999.84191724
k_e	9	1	1	999.99691472
mg2_e	9	1	1	999.99986289
mn2_e	9	1	1	1000.0
mobd_e	9	1	1	999.99994517
na1_e	9	1	1	999.99993145
nh4_e	9	1	1	999.79314239
ni2_e	9	1	1	999.99994517
o2_e	9	1	1	997.60223647
pi_e	9	1	1	999.98176917
so4_e	9	1	1	999.99642302
tpha_e	9	1	1	9.820373049
zn2_e	9	1	1	999.99994517
34dhbz_e	10	1	1	0.00054533109922
C80aPHA_e	10	1	1	0.10135765212
ca2_e	10	1	1	99.999907595
cbl1_e	10	1	1	0.001
cl_e	10	1	1	999.99990759
co2_e	10	1	1	2.4474756791
cobalt2_e	10	1	1	999.9999384
cu2_e	10	1	1	999.9999384
fe2_e	10	1	1	999.99967886
glycol_e	10	1	1	8.7334052478
h2o_e	10	1	1	1003.3853891
h_e	10	1	1	999.80331718
k_e	10	1	1	999.99653405
mg2_e	10	1	1	999.99984598
mn2_e	10	1	1	1000.0
mobd_e	10	1	1	999.9999384
na1_e	10	1	1	999.99992299
nh4_e	10	1	1	999.7676193
ni2_e	10	1	1	999.9999384
o2_e	10	1	1	997.3096896
pi_e	10	1	1	999.97951976
so4_e	10	1	1	999.99598167
tpha_e	10	1	1	9.7991100584
zn2_e	10	1	1	999.9999384
34dhbz_e	11	1	1	0.020681019112
C80aPHA_e	11	1	1	0.10696199492
ca2_e	11	1	1	99.999898126
cbl1_e	11	1	1	0.001
cl_e	11	1	1	999.99989813
co2_e	11	1	1	2.6647436852
cobalt2_e	11	1	1	999.99993209
cu2_e	11	1	1	999.99993209
fe2_e	11	1	1	999.99964595
glycol_e	11	1	1	8.5730283442
h2o_e	11	1	1	1003.8001405
h_e	11	1	1	999.80134234
k_e	11	1	1	999.99617886
mg2_e	11	1	1	999.99983019
mn2_e	11	1	1	1000.0
mobd_e	11	1	1	999.99993209
na1_e	11	1	1	999.9999151
nh4_e	11	1	1	999.74380541
ni2_e	11	1	1	999.99993209
o2_e	11	1	1	997.03072534
pi_e	11	1	1	999.97742099
so4_e	11	1	1	999.99556988
tpha_e	11	1	1	9.7775737811
zn2_e	11	1	1	999.99993209
34dhbz_e	12	1	1	0.0015443124075
C80aPHA_e	12	1	1	0.12298544365
ca2_e	12	1	1	99.999887698
cbl1_e	12	1	1	0.001
cl_e	12	1	1	999.9998877
co2_e	12	1	1	2.9731730761
