cycle	plasticDegradationEstrategy3-dPCA	defaultModel-3
0.0	0.01	0.01
1.0	0.010205652314	0.010126542568
2.0	0.010415533915	0.010283538722
3.0	0.01062973178	0.010421205085
4.0	0.010848334674	0.010582436729
5.0	0.011071433186	0.010742994558
6.0	0.011299119772	0.01090719734
7.0	0.011531488784	0.011073751552
8.0	0.011768636519	0.011243052383
9.0	0.012010661252	0.011414746228
10.0	0.01225766328	0.011589312294
11.0	0.012509744962	0.011766295961
12.0	0.012767010761	0.011946304326
13.0	0.013029567292	0.012128726659
14.0	0.013297523358	0.012314368019
15.0	0.013570990003	0.012502371813
16.0	0.013850080552	0.012693857291
17.0	0.014134910664	0.012887570348
18.0	0.014425598372	0.013085144301
19.0	0.01472226414	0.013284661935
20.0	0.015025030909	0.013488627032
21.0	0.015334024146	0.013693976845
22.0	0.015649371901	0.013904745029
23.0	0.015971204855	0.014115813628
24.0	0.016299656378	0.014334013592
25.0	0.016634862583	0.01455374153
26.0	0.016976962381	0.014740054671
27.0	0.017326097541	0.014968576092
28.0	0.017682412746	0.01519596823
29.0	0.018046055656	0.015431060236
30.0	0.018417176966	0.015666675507
31.0	0.018795930471	0.015904564746
32.0	0.019182473131	0.01615104642
33.0	0.019576965129	0.016373474001
34.0	0.019979569947	0.016627319026
35.0	0.020390454426	0.016879425574
36.0	0.020809788839	0.017141114584
37.0	0.021237746962	0.017403748343
38.0	0.021674506142	0.017670474521
39.0	0.022120247376	0.017940757152
40.0	0.022575155382	0.01821273606
41.0	0.023039418676	0.018495095957
42.0	0.023513229652	0.01877152418
43.0	0.02399678466	0.01906254721
44.0	0.024490284089	0.01935223399
45.0	0.024993932448	0.019652260015
46.0	0.025507938452	0.019950612875
47.0	0.026032515109	0.020259915825
48.0	0.026567879805	0.020567164765
49.0	0.027114254401	0.020886026385
50.0	0.027671865317	0.021205542338
51.0	0.02824094363	0.021528024762
52.0	0.02882172517	0.021861783008
53.0	0.029414450617	0.02219157092
54.0	0.0300193656	0.022535616409
55.0	0.0306367208	0.022880316853
56.0	0.031266772052	0.02323403887
57.0	0.031909780454	0.023579523806
58.0	0.032566012472	0.023945087327
59.0	0.033235740054	0.024312961485
60.0	0.033919240738	0.024685948783
61.0	0.034616797773	0.025065999235
62.0	0.035328700229	0.025448978433
63.0	0.036055243123	0.025843524914
64.0	0.036796727541	0.026239543476
65.0	0.037553460757	0.026638945663
66.0	0.038325756367	0.027051940719
67.0	0.039113934415	0.027464443227
68.0	0.039918321526	0.027890236328
69.0	0.040739251045	0.028314322283
70.0	0.041577063169	0.028753291425
71.0	0.042432105094	0.029194405246
72.0	0.043304731153	0.029646131107
73.0	0.044195302969	0.030081892698
74.0	0.045104189601	0.030548265246
75.0	0.046031767697	0.031021868169
76.0	0.04697842165	0.031492800045
77.0	0.047944543762	0.031981046498
78.0	0.048930534398	0.032476862446
79.0	0.04993680216	0.03297090257
80.0	0.050963764051	0.033482064683
81.0	0.052011845651	0.033995885308
82.0	0.053081481291	0.03452293817
83.0	0.054173114236	0.035053727852
84.0	0.055287196865	0.035586418546
85.0	0.056424190862	0.036138130131
86.0	0.057584567402	0.036698395138
87.0	0.058768807355	0.037256044383
88.0	0.059977401477	0.037833640897
89.0	0.061210850616	0.038420192138
90.0	0.062469665922	0.039007387128
91.0	0.063754369056	0.039612135463
92.0	0.065065492408	0.04022532633
93.0	0.066403579315	0.04083425181
94.0	0.067769184288	0.041467322815
95.0	0.069162873244	0.042110208594
96.0	0.070585223735	0.042763061307
97.0	0.072036825194	0.043416970864
98.0	0.073518279172	0.044090082877
99.0	0.075030199594	0.044773630435
100.0	0.07657321301	0.045453248122
101.0	0.078147958853	0.046157929418
102.0	0.07975508971	0.046873535692
103.0	0.081395271584	0.047600236319
104.0	0.083069184177	0.048337008526
105.0	0.084777521171	0.049071555646
106.0	0.08652099051	0.049832333123
107.0	0.0883003147	0.050604905262
108.0	0.090116231103	0.051389454919
109.0	0.091969492247	0.052186167788
110.0	0.093860866136	0.052984316585
111.0	0.095791136566	0.053805755281
112.0	0.097761103454	0.054639929096
113.0	0.099771583167	0.055487035467
114.0	0.10182340886	0.056343834232
115.0	0.10391743082	0.057217356978
116.0	0.10605451683	0.058087443981
117.0	0.10823555251	0.058987998661
118.0	0.11046144169	0.059902515029
119.0	0.1127331068	0.060831209538
120.0	0.11505148923	0.061774301998
121.0	0.11741754972	0.062732015627
122.0	0.1198322688	0.063704577103
123.0	0.12229664714	0.064692216619
124.0	0.12481170599	0.065695167936
125.0	0.1273784876	0.06671366844
126.0	0.12999805567	0.067726694351
127.0	0.13267149576	0.068776690484
128.0	0.13539991577	0.06984296516
129.0	0.13818444637	0.070925770752
130.0	0.14102624148	0.072025363545
131.0	0.14392647877	0.0731420038
132.0	0.14688636011	0.074275955809
133.0	0.14990711209	0.075427487966
134.0	0.15298998654	0.076596872821
135.0	0.15613626101	0.077784387155
136.0	0.15934723935	0.078990312034
137.0	0.1626242522	0.080214932887
138.0	0.16417715299	0.081222731134
139.0	0.16401297584	0.082023452065
140.0	0.16384896286	0.082832066771
141.0	0.1636851139	0.083648653072
142.0	0.16352142879	0.084473289555
143.0	0.16335790736	0.085306055581
144.0	0.16319454945	0.086147031294
145.0	0.1630313549	0.086996297628
146.0	0.16286832355	0.087853936314
147.0	0.16270545522	0.08872002989
148.0	0.16254274977	0.089594661707
149.0	0.16238020702	0.090477915938
150.0	0.16221782681	0.091369877585
151.0	0.16205560898	0.092270632489
152.0	0.16189355338	0.093180267338
153.0	0.16173165982	0.094098869672
