metabolite	cycle	x	y	conc_mmol
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.99999343
na1_e	6	1	1	999.99999179
nh4_e	6	1	1	999.97522028
ni2_e	6	1	1	999.99999343
o2_e	6	1	1	999.7726571
pi_e	6	1	1	999.99781611
so4_e	6	1	1	999.99957152
tpha_e	6	1	1	9.9840513093
zn2_e	6	1	1	999.99999343
34dhbz_e	7	1	1	0.0014207830766
C80aPHA_e	7	1	1	0.0070342275301
ca2_e	7	1	1	99.999988367
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99998837
co2_e	7	1	1	0.23420384548
cobalt2_e	7	1	1	999.99999225
cu2_e	7	1	1	999.99999225
fe2_e	7	1	1	999.99995957
glycol_e	7	1	1	9.8697168262
h2o_e	7	1	1	1000.3552376
h_e	7	1	1	999.98956986
k_e	7	1	1	999.99956366
mg2_e	7	1	1	999.99998061
mn2_e	7	1	1	1000.0
mobd_e	7	1	1	999.99999225
na1_e	7	1	1	999.9999903
nh4_e	7	1	1	999.9707447
ni2_e	7	1	1	999.99999225
o2_e	7	1	1	999.73157541
pi_e	7	1	1	999.99742166
so4_e	7	1	1	999.99949413
tpha_e	7	1	1	9.9811986228
zn2_e	7	1	1	999.99999225
34dhbz_e	8	1	1	0.0013358949605
C80aPHA_e	8	1	1	0.008206234162
ca2_e	8	1	1	99.999986554
cbl1_e	8	1	1	0.001
cl_e	8	1	1	999.99998655
co2_e	8	1	1	0.27123684153
cobalt2_e	8	1	1	999.99999104
cu2_e	8	1	1	999.99999104
fe2_e	8	1	1	999.99995327
glycol_e	8	1	1	9.8498392013
h2o_e	8	1	1	1000.4096523
h_e	8	1	1	999.98767601
k_e	8	1	1	999.99949565
mg2_e	8	1	1	999.99997759
mn2_e	8	1	1	1000.0
mobd_e	8	1	1	999.99999104
na1_e	8	1	1	999.99998879
nh4_e	8	1	1	999.9661849
ni2_e	8	1	1	999.99999104
o2_e	8	1	1	999.68975572
pi_e	8	1	1	999.9970198
so4_e	8	1	1	999.99941528
tpha_e	8	1	1	9.9782872701
zn2_e	8	1	1	999.99999104
34dhbz_e	9	1	1	0.0014735670804
C80aPHA_e	9	1	1	0.0093435770688
ca2_e	9	1	1	99.999984708
cbl1_e	9	1	1	0.001
cl_e	9	1	1	999.99998471
co2_e	9	1	1	0.30852535641
cobalt2_e	9	1	1	999.99998981
cu2_e	9	1	1	999.99998981
fe2_e	9	1	1	999.99994685
glycol_e	9	1	1	9.8292788543
h2o_e	9	1	1	1000.4657623
h_e	9	1	1	999.98595678
k_e	9	1	1	999.99942642
mg2_e	9	1	1	999.99997451
mn2_e	9	1	1	1000.0
mobd_e	9	1	1	999.99998981
na1_e	9	1	1	999.99998726
nh4_e	9	1	1	999.96154351
ni2_e	9	1	1	999.99998981
o2_e	9	1	1	999.64718409
pi_e	9	1	1	999.99661074
so4_e	9	1	1	999.99933502
tpha_e	9	1	1	9.9753160447
zn2_e	9	1	1	999.99998981
34dhbz_e	10	1	1	0.0013619489477
C80aPHA_e	10	1	1	0.010565655964
ca2_e	10	1	1	99.999982827
cbl1_e	10	1	1	0.001
cl_e	10	1	1	999.99998283
co2_e	10	1	1	0.34697578209
cobalt2_e	10	1	1	999.99998855
cu2_e	10	1	1	999.99998855
fe2_e	10	1	1	999.99994032
