metabolite	cycle	x	y	conc_mmol
ca2_e	0	1	1	100.0
cbl1_e	0	1	1	0.001
cl_e	0	1	1	1000.0
cobalt2_e	0	1	1	1000.0
cu2_e	0	1	1	1000.0
fe2_e	0	1	1	1000.0
glycol_e	0	1	1	10.0
h2o_e	0	1	1	1000.0
h_e	0	1	1	1000.0
k_e	0	1	1	1000.0
mg2_e	0	1	1	1000.0
mn2_e	0	1	1	1000.0
mobd_e	0	1	1	1000.0
na1_e	0	1	1	1000.0
nh4_e	0	1	1	1000.0
ni2_e	0	1	1	1000.0
o2_e	0	1	1	1000.0
pi_e	0	1	1	1000.0
so4_e	0	1	1	1000.0
tpha_e	0	1	1	10.0
zn2_e	0	1	1	1000.0
34dhbz_e	1	1	1	0.021662057984
C80aPHA_e	1	1	1	0.0051599134973
ca2_e	1	1	1	99.9999907
cbl1_e	1	1	1	0.001
cl_e	1	1	1	999.9999907
co2_e	1	1	1	0.21200610856
cobalt2_e	1	1	1	999.9999938
cu2_e	1	1	1	999.9999938
fe2_e	1	1	1	999.99996768
glycol_e	1	1	1	9.84
h2o_e	1	1	1	1000.4130926
h_e	1	1	1	999.99892383
k_e	1	1	1	999.99965119
mg2_e	1	1	1	999.9999845
mn2_e	1	1	1	1000.0
mobd_e	1	1	1	999.9999938
na1_e	1	1	1	999.99999225
nh4_e	1	1	1	999.97661343
ni2_e	1	1	1	999.9999938
o2_e	1	1	1	999.72460687
pi_e	1	1	1	999.99793889
so4_e	1	1	1	999.9995956
tpha_e	1	1	1	9.978337942
zn2_e	1	1	1	999.9999938
34dhbz_e	2	1	1	0.0030963614525
C80aPHA_e	2	1	1	0.02105340802
ca2_e	2	1	1	99.999980307
cbl1_e	2	1	1	0.001
cl_e	2	1	1	999.99998031
co2_e	2	1	1	0.51904801768
cobalt2_e	2	1	1	999.99998687
cu2_e	2	1	1	999.99998687
fe2_e	2	1	1	999.99993156
glycol_e	2	1	1	9.7262600407
h2o_e	2	1	1	1000.7301664
h_e	2	1	1	999.9594849
k_e	2	1	1	999.99926134
mg2_e	2	1	1	999.99996717
mn2_e	2	1	1	1000.0
mobd_e	2	1	1	999.99998687
na1_e	2	1	1	999.99998359
nh4_e	2	1	1	999.95047555
ni2_e	2	1	1	999.99998687
o2_e	2	1	1	999.42483185
pi_e	2	1	1	999.9956353
so4_e	2	1	1	999.99914362
tpha_e	2	1	1	9.9563974683
zn2_e	2	1	1	999.99998687
34dhbz_e	3	1	1	0.018584040867
C80aPHA_e	3	1	1	0.028399043673
ca2_e	3	1	1	99.999970103
cbl1_e	3	1	1	0.001
cl_e	3	1	1	999.9999701
co2_e	3	1	1	0.76134973423
cobalt2_e	3	1	1	999.99998007
cu2_e	3	1	1	999.99998007
fe2_e	3	1	1	999.99989609
glycol_e	3	1	1	9.5619220849
h2o_e	3	1	1	1001.1581817
h_e	3	1	1	999.9531164
k_e	3	1	1	999.9988786
mg2_e	3	1	1	999.99995017
mn2_e	3	1	1	1000.0
mobd_e	3	1	1	999.99998007
na1_e	3	1	1	999.99997508
nh4_e	3	1	1	999.92481363
ni2_e	3	1	1	999.99998007
o2_e	3	1	1	999.1261671
pi_e	3	1	1	999.99337365
so4_e	3	1	1	999.99869988
tpha_e	3	1	1	9.9341750004
zn2_e	3	1	1	999.99998007
34dhbz_e	4	1	1	0.00074908036799
C80aPHA_e	4	1	1	0.04441166282
ca2_e	4	1	1	99.999959421
cbl1_e	4	1	1	0.001
cl_e	4	1	1	999.99995942
co2_e	4	1	1	1.0745341151
cobalt2_e	4	1	1	999.99997295
cu2_e	4	1	1	999.99997295
fe2_e	4	1	1	999.99985897
glycol_e	4	1	1	9.442977872
h2o_e	4	1	1	1001.4885909
h_e	4	1	1	999.91391093
k_e	4	1	1	999.99847794
mg2_e	4	1	1	999.99993236
mn2_e	4	1	1	1000.0
mobd_e	4	1	1	999.99997295
na1_e	4	1	1	999.99996618
nh4_e	4	1	1	999.897951
ni2_e	4	1	1	999.99997295
o2_e	4	1	1	998.8179788
pi_e	4	1	1	999.99100619
so4_e	4	1	1	999.99823537
tpha_e	4	1	1	9.911666914
zn2_e	4	1	1	999.99997295
34dhbz_e	5	1	1	0.021925245638
C80aPHA_e	5	1	1	0.050360774024
ca2_e	5	1	1	99.999949429
cbl1_e	5	1	1	0.001
cl_e	5	1	1	999.99994943
co2_e	5	1	1	1.3040338962
cobalt2_e	5	1	1	999.99996629
cu2_e	5	1	1	999.99996629
fe2_e	5	1	1	999.99982425
glycol_e	5	1	1	9.2740285516
h2o_e	5	1	1	1001.9255801
h_e	5	1	1	999.91160981
k_e	5	1	1	999.99810318
mg2_e	5	1	1	999.99991571
mn2_e	5	1	1	1000.0
mobd_e	5	1	1	999.99996629
na1_e	5	1	1	999.99995785
nh4_e	5	1	1	999.87282449
ni2_e	5	1	1	999.99996629
o2_e	5	1	1	998.5236772
pi_e	5	1	1	999.98879173
so4_e	5	1	1	999.99780088
tpha_e	5	1	1	9.8888695381
zn2_e	5	1	1	999.99996629
34dhbz_e	6	1	1	0.002080775346
C80aPHA_e	6	1	1	0.067187350542
ca2_e	6	1	1	99.999938448
cbl1_e	6	1	1	0.001
cl_e	6	1	1	999.99993845
co2_e	6	1	1	1.6285959213
cobalt2_e	6	1	1	999.99995897
cu2_e	6	1	1	999.99995897
fe2_e	6	1	1	999.99978608
glycol_e	6	1	1	9.1540805256
h2o_e	6	1	1	1002.2600879
h_e	6	1	1	999.86989254
k_e	6	1	1	999.9976913
mg2_e	6	1	1	999.9998974
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.99995897
na1_e	6	1	1	999.9999487
nh4_e	6	1	1	999.84520946
ni2_e	6	1	1	999.99995897
o2_e	6	1	1	998.2070596
pi_e	6	1	1	999.98635796
so4_e	6	1	1	999.99732336
tpha_e	6	1	1	9.8657791545
zn2_e	6	1	1	999.99995897
34dhbz_e	7	1	1	0.020979666156
C80aPHA_e	7	1	1	0.074152390096
ca2_e	7	1	1	99.999927918
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99992792
co2_e	7	1	1	1.8747487238
cobalt2_e	7	1	1	999.99995195
cu2_e	7	1	1	999.99995195
fe2_e	7	1	1	999.99974949
glycol_e	7	1	1	8.9805085908
h2o_e	7	1	1	1002.7106495
h_e	7	1	1	999.86532812
k_e	7	1	1	999.99729632
mg2_e	7	1	1	999.99987985
mn2_e	7	1	1	1000.0
