metabolite	cycle	x	y	conc_mmol
ca2_e	0	1	1	100.0
cbl1_e	0	1	1	0.001
cl_e	0	1	1	1000.0
cobalt2_e	0	1	1	1000.0
cu2_e	0	1	1	1000.0
fe2_e	0	1	1	1000.0
glycol_e	0	1	1	10.0
h2o_e	0	1	1	1000.0
h_e	0	1	1	1000.0
k_e	0	1	1	1000.0
mg2_e	0	1	1	1000.0
mn2_e	0	1	1	1000.0
mobd_e	0	1	1	1000.0
na1_e	0	1	1	1000.0
nh4_e	0	1	1	1000.0
ni2_e	0	1	1	1000.0
o2_e	0	1	1	1000.0
pi_e	0	1	1	1000.0
so4_e	0	1	1	1000.0
tpha_e	0	1	1	10.0
zn2_e	0	1	1	1000.0
34dhbz_e	1	1	1	0.02707757248
C80aPHA_e	1	1	1	0.0080507324658
ca2_e	1	1	1	99.99998549
cbl1_e	1	1	1	0.001
cl_e	1	1	1	999.99998549
co2_e	1	1	1	0.32478244447
cobalt2_e	1	1	1	999.99999033
cu2_e	1	1	1	999.99999033
fe2_e	1	1	1	999.99994957
glycol_e	1	1	1	9.75
h2o_e	1	1	1	1000.645608
h_e	1	1	1	1000.0050415
k_e	1	1	1	999.99945577
mg2_e	1	1	1	999.99997582
mn2_e	1	1	1	1000.0
mobd_e	1	1	1	999.99999033
na1_e	1	1	1	999.99998791
nh4_e	1	1	1	999.96351121
ni2_e	1	1	1	999.99999033
o2_e	1	1	1	999.57613789
pi_e	1	1	1	999.99678416
so4_e	1	1	1	999.99936904
tpha_e	1	1	1	9.9729224275
zn2_e	1	1	1	999.99999033
34dhbz_e	2	1	1	0.012121279611
C80aPHA_e	2	1	1	0.027740516902
ca2_e	2	1	1	99.9999691
cbl1_e	2	1	1	0.001
cl_e	2	1	1	999.9999691
co2_e	2	1	1	0.76322525596
cobalt2_e	2	1	1	999.9999794
cu2_e	2	1	1	999.9999794
fe2_e	2	1	1	999.99989261
glycol_e	2	1	1	9.5361872292
h2o_e	2	1	1	1001.2220997
h_e	2	1	1	999.97151647
k_e	2	1	1	999.998841
mg2_e	2	1	1	999.9999485
mn2_e	2	1	1	1000.0
mobd_e	2	1	1	999.9999794
na1_e	2	1	1	999.99997425
nh4_e	2	1	1	999.92229255
ni2_e	2	1	1	999.9999794
o2_e	2	1	1	999.10774859
pi_e	2	1	1	999.99315147
so4_e	2	1	1	999.99865628
tpha_e	2	1	1	9.9454968353
zn2_e	2	1	1	999.9999794
34dhbz_e	3	1	1	0.020952881258
C80aPHA_e	3	1	1	0.041649612975
ca2_e	3	1	1	99.999952569
cbl1_e	3	1	1	0.001
cl_e	3	1	1	999.99995257
co2_e	3	1	1	1.1623852372
cobalt2_e	3	1	1	999.99996838
cu2_e	3	1	1	999.99996838
fe2_e	3	1	1	999.99983516
glycol_e	3	1	1	9.2826216047
h2o_e	3	1	1	1001.8875423
h_e	3	1	1	999.96138623
k_e	3	1	1	999.99822094
mg2_e	3	1	1	999.99992094
mn2_e	3	1	1	1000.0
mobd_e	3	1	1	999.99996838
na1_e	3	1	1	999.99996047
nh4_e	3	1	1	999.88071962
ni2_e	3	1	1	999.99996838
o2_e	3	1	1	998.63265251
pi_e	3	1	1	999.98948755
so4_e	3	1	1	999.9979374
tpha_e	3	1	1	9.9177187505
zn2_e	3	1	1	999.99996838
34dhbz_e	4	1	1	0.016378721493
C80aPHA_e	4	1	1	0.059160317754
ca2_e	4	1	1	99.999935747
cbl1_e	4	1	1	0.001
cl_e	4	1	1	999.99993575
co2_e	4	1	1	1.5927810943
cobalt2_e	4	1	1	999.99995717
cu2_e	4	1	1	999.99995717
fe2_e	4	1	1	999.9997767
glycol_e	4	1	1	9.0460018465
h2o_e	4	1	1	1002.5172642
h_e	4	1	1	999.93777814
k_e	4	1	1	999.99759
mg2_e	4	1	1	999.9998929
mn2_e	4	1	1	1000.0
mobd_e	4	1	1	999.99995717
na1_e	4	1	1	999.99994645
nh4_e	4	1	1	999.83841738
ni2_e	4	1	1	999.99995717
o2_e	4	1	1	998.1507947
pi_e	4	1	1	999.98575936
so4_e	4	1	1	999.99720591
tpha_e	4	1	1	9.8895836425
zn2_e	4	1	1	999.99995717
34dhbz_e	5	1	1	0.019340394201
C80aPHA_e	5	1	1	0.074994740447
ca2_e	5	1	1	99.999918715
cbl1_e	5	1	1	0.001
cl_e	5	1	1	999.99991871
co2_e	5	1	1	2.0148364987
cobalt2_e	5	1	1	999.99994582
cu2_e	5	1	1	999.99994582
fe2_e	5	1	1	999.9997175
glycol_e	5	1	1	8.7943241771
h2o_e	5	1	1	1003.1816715
h_e	5	1	1	999.92145054
k_e	5	1	1	999.99695113
mg2_e	5	1	1	999.99986451
mn2_e	5	1	1	1000.0
mobd_e	5	1	1	999.99994582
na1_e	5	1	1	999.99993226
nh4_e	5	1	1	999.79558362
ni2_e	5	1	1	999.99994582
o2_e	5	1	1	997.66205497
pi_e	5	1	1	999.98198432
so4_e	5	1	1	999.99646523
tpha_e	5	1	1	9.8610869226
zn2_e	5	1	1	999.99994582
34dhbz_e	6	1	1	0.018089651253
C80aPHA_e	6	1	1	0.092118577199
ca2_e	6	1	1	99.999901421
cbl1_e	6	1	1	0.001
cl_e	6	1	1	999.99990142
co2_e	6	1	1	2.450884095
cobalt2_e	6	1	1	999.99993429
cu2_e	6	1	1	999.99993429
fe2_e	6	1	1	999.9996574
glycol_e	6	1	1	8.5454616833
h2o_e	6	1	1	1003.8414796
h_e	6	1	1	999.90075548
k_e	6	1	1	999.99630248
mg2_e	6	1	1	999.99983569
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.99993429
na1_e	6	1	1	999.99991784
nh4_e	6	1	1	999.75209382
ni2_e	6	1	1	999.99993429
o2_e	6	1	1	997.16634767
pi_e	6	1	1	999.97815147
so4_e	6	1	1	999.99571321
tpha_e	6	1	1	9.8322239431
zn2_e	6	1	1	999.99993429
34dhbz_e	7	1	1	0.019193710845
C80aPHA_e	7	1	1	0.10887887384
ca2_e	7	1	1	99.999883889
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99988389
co2_e	7	1	1	2.8885720376
cobalt2_e	7	1	1	999.9999226
cu2_e	7	1	1	999.9999226
fe2_e	7	1	1	999.99959647
glycol_e	7	1	1	8.2893412315
h2o_e	7	1	1	1004.5188648
h_e	7	1	1	999.88220157
k_e	7	1	1	999.99564488
mg2_e	7	1	1	999.99980646
mn2_e	7	1	1	1000.0
