Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-2.3832396166,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3832396166,0,0.0,SAT,,103.256,
2,2,1,-2.372760981,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.372760981,1,0.0,SAT,,102.197,
3,3,1,-2.3506520345,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3506520345,1,0.0,SAT,,71.591,
4,4,1,-1.7301962244000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.7301962244000002,1,0.0,SAT,,153.5,
5,5,1,-1.8247958840999998,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.8247958840999998,1,0.0,SAT,,145.675,
6,6,1,-2.372760981,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.372760981,1,0.0,SAT,,115.593,
7,7,1,-2.3916551032,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3916551032,1,0.0,SAT,,93.047,
8,8,1,-0.8609056497,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.8609056497,1,0.0,SAT,,125.023,
9,9,1,-2.3453606718,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3453606718,1,0.0,SAT,,70.463,
10,10,1,-0.3949741352,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.3949741352,1,0.0,SAT,,145.651,
11,11,1,-1.5629685849000001,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.5629685849000001,1,0.0,SAT,,149.325,
12,12,1,-2.3872384535,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3872384535,1,0.0,SAT,,141.239,
13,13,1,-2.3743925194,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3743925194,2,0.0,SAT,,104.791,
14,14,1,-2.2584147718,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.2584147718,2,0.0,SAT,,131.531,
15,15,1,-2.3415422057,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3415422057,2,0.0,SAT,,70.957,
16,16,1,-2.3306194425,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3306194425,2,0.0,SAT,,82.415,
17,17,1,-2.3813869677,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3813869677,2,0.0,SAT,,89.055,
18,18,1,-2.3346065545,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3346065545,2,0.0,SAT,,112.033,
19,19,1,-2.3524574778,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3524574778,2,0.0,SAT,,70.445,
20,20,1,-2.3617820597,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3617820597,2,0.0,SAT,,77.968,
21,21,1,-2.3342298115,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3342298115,2,0.0,SAT,,73.306,
22,22,1,-2.1455672253,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.1455672253,2,0.0,SAT,,129.467,
23,23,1,-2.3693787334,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3693787334,3,0.0,SAT,,70.519,
24,24,1,-2.3342298115,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3342298115,3,0.0,SAT,,72.084,
25,25,1,-2.3343925451,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3343925451,3,0.0,SAT,,71.029,
26,26,1,-2.3693787334,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3693787334,3,0.0,SAT,,72.536,
27,27,1,-2.3656172062,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3656172062,3,0.0,SAT,,76.266,
28,28,1,-1.1779907927000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.1779907927000002,3,0.0,SAT,,135.724,
29,29,1,-2.3693787334,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3693787334,3,0.0,SAT,,71.016,
30,30,1,-2.3452028959,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3452028959,3,0.0,SAT,,72.662,
31,31,1,-2.3343925451,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3343925451,3,0.0,SAT,,72.527,
32,32,1,-2.3386838547,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3386838547,3,0.0,SAT,,99.305,
33,33,1,-2.3743925194,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3743925194,4,0.0,SAT,,92.371,
34,34,1,-1.334085547,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.334085547,4,0.0,SAT,,135.141,
35,35,1,-2.3872384535,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3872384535,4,0.0,SAT,,124.107,
36,36,1,-1.2889966467999998,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.2889966467999998,4,0.0,SAT,,143.041,
37,37,1,-1.9330386846,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.9330386846,4,0.0,SAT,,138.874,
38,38,1,-0.8609056497,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.8609056497,4,0.0,SAT,,127.933,
39,39,1,-1.9330386846,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.9330386846,4,0.0,SAT,,130.088,
40,40,1,-0.6437270063,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.6437270063,4,0.0,SAT,,139.553,
41,41,1,-2.3743925194,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3743925194,4,0.0,SAT,,86.335,
42,42,1,-2.3628429084,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3628429084,4,0.0,SAT,,75.305,
43,43,1,-1.9330386846,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.9330386846,4,0.0,SAT,,124.965,
44,44,1,-2.3945584147,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3945584147,5,0.0,SAT,,93.042,
45,45,1,-1.5304610312000002,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.5304610312000002,5,0.0,SAT,,124.679,
46,46,1,-2.372760981,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.372760981,5,0.0,SAT,,99.311,
