62: param_1_biomass1='0.015', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-3'
63: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-3', param_4_gly2='-6'
64: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-10'
65: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-7.5'
66: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-7.5'
67: param_1_biomass1='0.025', param_2_biomass2='0.1', param_3_gly1='-0.1', param_4_gly2='-7.5'
68: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-2', param_4_gly2='-4'
69: param_1_biomass1='0.015', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-10'
70: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-0.1', param_4_gly2='-0.5'
71: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-2', param_4_gly2='-10'
72: param_1_biomass1='0.07', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-15'
73: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.5', param_4_gly2='-7.5'
74: param_1_biomass1='0.05', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-4'
75: param_1_biomass1='0.03', param_2_biomass2='0.07', param_3_gly1='-0.1', param_4_gly2='-10'
76: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-5', param_4_gly2='-0.5'
77: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-7.5'
78: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-1'
79: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-15'
80: param_1_biomass1='0.015', param_2_biomass2='0.07', param_3_gly1='-3', param_4_gly2='-20'
81: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-6'
82: param_1_biomass1='0.02', param_2_biomass2='0.07', param_3_gly1='-3', param_4_gly2='-5'
83: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-0.1', param_4_gly2='-6'
84: param_1_biomass1='0.025', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-4'
85: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-5'
86: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-2'
87: param_1_biomass1='0.025', param_2_biomass2='0.015', param_3_gly1='-0.1', param_4_gly2='-3'
88: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-7.5', param_4_gly2='-10'
89: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-6', param_4_gly2='-1'
90: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-1', param_4_gly2='-10'
91: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-5'
92: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-15'
93: param_1_biomass1='0.05', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-20'
94: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-20', param_4_gly2='-10'
95: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-6', param_4_gly2='-7.5'
96: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-20'
97: param_1_biomass1='0.025', param_2_biomass2='0.07', param_3_gly1='-4', param_4_gly2='-20'
98: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-4', param_4_gly2='-20'
99: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-2'
100: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-3'
