Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-9.0,-0.1,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-16.0,-4.0,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-15.0,-6.0,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-15.0,-3.0,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-13.0,-6.0,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-13.0,-1.5,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-13.0,-0.1,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-11.0,-0.1,0.07,0.1,	3.399263	0.0	0.460495	0.177348	322
Yield	-7.0,-4.5,0.025,0.015,	3.394558	0.0	0.351589	0.189994	322
Yield	-7.0,-4.0,0.025,0.015,	3.394558	0.0	0.351589	0.189994	322
Yield	-16.0,-0.5,0.025,0.015,	3.394558	0.0	0.351589	0.189994	322
Yield	-16.0,-0.1,0.025,0.015,	3.394558	0.0	0.351589	0.189994	322
Yield	-10.0,-4.0,0.025,0.015,	3.394558	0.0	0.351589	0.189994	322
Yield	-7.0,-6.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-16.0,-1.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-14.0,-6.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-14.0,-4.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-14.0,-2.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-13.0,-1.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-11.0,-1.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-10.0,-4.0,0.1,0.1,	3.391655	0.0	0.508573	0.188539	322
Yield	-9.0,-5.0,0.02,0.015,	3.387238	0.0	0.339457	0.185621	322
Yield	-7.0,-6.0,0.02,0.015,	3.387238	0.0	0.339457	0.185621	322
Yield	-7.0,-4.0,0.02,0.015,	3.387238	0.0	0.339457	0.185621	322
Yield	-13.0,-0.1,0.03,0.025,	3.382528	0.0	0.359351	0.185606	322
Yield	-8.0,-4.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-7.0,-5.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-16.0,-3.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-13.0,-4.5,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-13.0,-1.0,0.03,0.015,	3.381387	0.0	0.363381	0.194162	322
Yield	-16.0,-0.5,0.07,0.02,	3.378114	0.0	0.417467	0.19992	322
Yield	-15.0,-3.0,0.02,0.01,	3.374393	0.0	0.344925	0.192003	322
Yield	-14.0,-0.1,0.02,0.01,	3.374393	0.0	0.344925	0.192003	322
Yield	-11.0,-0.5,0.02,0.01,	3.374393	0.0	0.344925	0.192003	322
Yield	-9.0,-6.0,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-9.0,-4.0,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-9.0,-0.5,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-8.0,-5.0,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-8.0,-1.5,0.025,0.02,	3.372761	0.0	0.348246	0.184907	322
Yield	-9.0,-6.0,0.1,0.025,	3.369379	0.0	0.451602	0.199554	322
Yield	-9.0,-1.5,0.1,0.025,	3.369379	0.0	0.451602	0.199554	322
Yield	-7.0,-4.5,0.1,0.025,	3.369379	0.0	0.451602	0.199554	322
Yield	-15.0,-1.5,0.1,0.025,	3.369379	0.0	0.451602	0.199554	322
Yield	-7.0,-6.0,0.05,0.025,	3.365617	0.0	0.397012	0.196483	322
Yield	-14.0,-6.0,0.05,0.025,	3.365617	0.0	0.397012	0.196483	322
Yield	-13.0,-6.0,0.05,0.025,	3.365617	0.0	0.397012	0.196483	322
Yield	-11.0,-6.0,0.05,0.025,	3.365617	0.0	0.397012	0.196483	322
Yield	-16.0,-4.0,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-14.0,-0.5,0.1,0.05,	3.362843	0.0	0.479352	0.201235	322
Yield	-14.0,-3.0,0.1,0.01,	3.361782	0.0	0.437781	0.200275	322
Yield	-12.0,-4.5,0.1,0.03,	3.359628	0.0	0.458447	0.200682	322
Yield	-13.0,-0.5,0.03,0.01,	3.350652	0.0	0.368146	0.200117	322
Yield	-16.0,-5.0,0.05,0.01,	3.347257	0.0	0.387356	0.199744	322
Yield	-16.0,-2.0,0.05,0.01,	3.347257	0.0	0.387356	0.199744	322
Yield	-11.0,-3.0,0.1,0.07,	3.345361	0.0	0.492735	0.197192	322
Yield	-15.0,-5.0,0.1,0.015,	3.345203	0.0	0.442004	0.1998	322
Yield	-14.0,-0.5,0.1,0.015,	3.345203	0.0	0.442004	0.1998	322
Yield	-11.0,-1.0,0.07,0.03,	3.34333	0.0	0.427824	0.200138	322
Yield	-11.0,-5.0,0.03,0.02,	3.338684	0.0	0.362558	0.190611	322
Yield	-13.0,-1.0,0.05,0.07,	3.334607	0.0	0.410854	0.177472	322
Yield	-14.0,-6.0,0.07,0.025,	3.334393	0.0	0.421928	0.199591	322
Yield	-7.0,-0.5,0.07,0.015,	3.33423	0.0	0.411518	0.199341	322
Yield	-16.0,-5.0,0.025,0.01,	3.333204	0.0	0.359894	0.198107	322
Yield	-15.0,-3.0,0.05,0.03,	3.330619	0.0	0.400162	0.195355	322
Yield	-7.0,-5.0,0.025,0.025,	3.324572	0.0	0.348793	0.182192	322
Yield	-11.0,-1.5,0.025,0.025,	3.324572	0.0	0.348793	0.182192	322
Yield	-15.0,-5.0,0.05,0.1,	3.308068	0.0	0.42362	0.166956	322
Yield	-15.0,-3.0,0.05,0.1,	3.308068	0.0	0.42362	0.166956	322
Yield	-9.0,-0.1,0.025,0.03,	3.258415	0.0	0.341826	0.174895	322
Yield	-8.0,-3.0,0.025,0.03,	3.258415	0.0	0.341826	0.174895	322
Yield	-14.0,-4.0,0.025,0.03,	3.258415	0.0	0.341826	0.174895	322
Yield	-11.0,-5.0,0.025,0.03,	3.258415	0.0	0.341826	0.174895	322
Yield	-10.0,-3.0,0.025,0.03,	3.258415	0.0	0.341826	0.174895	322
Yield	-14.0,-4.5,0.015,0.01,	3.214741	0.0	0.326633	0.183874	322
Yield	-10.0,-0.1,0.015,0.01,	3.214741	0.0	0.326633	0.183874	322
Yield	-7.0,-4.0,0.02,0.02,	3.145567	0.0	0.32784	0.17549	322
Yield	-16.0,-3.0,0.02,0.02,	3.145567	0.0	0.32784	0.17549	322
Yield	-8.0,-5.0,0.02,0.025,	2.933039	0.0	0.311341	0.162382	322
Yield	-15.0,-0.1,0.03,0.07,	2.824796	0.0	0.338505	0.145451	322
Yield	-11.0,-0.5,0.03,0.07,	2.824796	0.0	0.338505	0.145451	322
Yield	-10.0,-6.0,0.02,0.03,	2.730196	0.0	0.303666	0.154654	322
Yield	-10.0,-3.0,0.02,0.03,	2.730196	0.0	0.303666	0.154654	322
Yield	-9.0,-1.0,0.03,0.1,	2.562969	0.0	0.339562	0.1278	322
Yield	-13.0,-4.0,0.03,0.1,	2.562969	0.0	0.339562	0.1278	322
Yield	-13.0,-0.1,0.015,0.02,	2.530461	0.0	0.281009	0.149966	322
Yield	-16.0,-2.0,0.025,0.07,	2.452389	0.0	0.310156	0.131194	322
Yield	-11.0,-1.0,0.025,0.07,	2.452389	0.0	0.310156	0.131194	322
