Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-9.0,-1.5,0.015,0.025,	2.334086	0.0	0.270831	0.140714	322
Yield	-14.0,-6.0,0.02,0.05,	2.288997	0.0	0.283216	0.129993	322
Yield	-14.0,-0.1,0.025,0.1,	2.213822	0.0	0.312296	0.114205	322
Yield	-14.0,-1.0,0.015,0.03,	2.177991	0.0	0.261902	0.132223	322
Yield	-12.0,-1.5,0.02,0.07,	2.075777	0.0	0.280675	0.11625	322
Yield	-7.0,-1.5,0.015,0.05,	1.860906	0.0	0.250687	0.113194	322
Yield	-10.0,-0.1,0.015,0.05,	1.860906	0.0	0.250687	0.113194	322
Yield	-10.0,-5.0,0.01,0.025,	1.737355	0.0	0.225784	0.116285	322
Yield	-16.0,-1.5,0.015,0.07,	1.67349	0.0	0.249826	0.100477	322
Yield	-14.0,-2.0,0.01,0.03,	1.643727	0.0	0.222261	0.11109	322
Yield	-15.0,-2.0,0.015,0.1,	1.489862	0.0	0.256732	0.086399	322
Yield	-10.0,-1.5,0.015,0.1,	1.489862	0.0	0.256732	0.086399	322
Yield	-15.0,-4.5,0.01,0.05,	1.394974	0.0	0.215456	0.094752	322
