1: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-10',1,3.39166
2: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-0.5', param_4_gly2='-9',2,3.37276
3: param_1_biomass1='0.03', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-13',3,3.35065
4: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-3', param_4_gly2='-10',4,2.7302
5: param_1_biomass1='0.03', param_2_biomass2='0.07', param_3_gly1='-0.5', param_4_gly2='-11',5,2.8248
6: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-1.5', param_4_gly2='-8',6,3.37276
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-11',7,3.39166
8: param_1_biomass1='0.015', param_2_biomass2='0.05', param_3_gly1='-1.5', param_4_gly2='-7',8,1.86091
9: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-3', param_4_gly2='-11',9,3.34536
10: param_1_biomass1='0.01', param_2_biomass2='0.05', param_3_gly1='-4.5', param_4_gly2='-15',10,1.39497
11: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-13',11,2.56297
12: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-5', param_4_gly2='-9',12,3.38724
13: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-15',13,3.37439
14: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-3', param_4_gly2='-10',14,3.25841
15: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-11',15,3.37439
16: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-3', param_4_gly2='-15',16,3.33062
17: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-1', param_4_gly2='-13',17,3.38139
18: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-1', param_4_gly2='-13',18,3.33461
19: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-4.5', param_4_gly2='-13',19,3.38139
20: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-14',20,3.36178
