1: param_1_biomass1='0.01', param_2_biomass2='0.01', param_3_gly1='-10', param_4_gly2='-10'
2: param_1_biomass1='0.01', param_2_biomass2='0.005', param_3_gly1='-0.5', param_4_gly2='-2'
3: param_1_biomass1='0.02', param_2_biomass2='0.0001', param_3_gly1='-0.5', param_4_gly2='-6'
4: param_1_biomass1='0.005', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-2'
5: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.5', param_4_gly2='-4'
6: param_1_biomass1='0.01', param_2_biomass2='0.005', param_3_gly1='-3', param_4_gly2='-1'
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-4'
8: param_1_biomass1='0.0005', param_2_biomass2='0.05', param_3_gly1='-3', param_4_gly2='-0.1'
9: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-6', param_4_gly2='-4'
10: param_1_biomass1='0.0001', param_2_biomass2='0.02', param_3_gly1='-10', param_4_gly2='-15'
11: param_1_biomass1='0.02', param_2_biomass2='0.1', param_3_gly1='-6', param_4_gly2='-6'
12: param_1_biomass1='0.005', param_2_biomass2='0.0005', param_3_gly1='-15', param_4_gly2='-1'
13: param_1_biomass1='0.025', param_2_biomass2='0.001', param_3_gly1='-3', param_4_gly2='-3'
14: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-2'
15: param_1_biomass1='0.03', param_2_biomass2='0.001', param_3_gly1='-0.5', param_4_gly2='-20'
16: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-5', param_4_gly2='-15'
17: param_1_biomass1='0.03', param_2_biomass2='0.001', param_3_gly1='-0.1', param_4_gly2='-0.5'
18: param_1_biomass1='0.025', param_2_biomass2='0.025', param_3_gly1='-2', param_4_gly2='-6'
19: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-3', param_4_gly2='-2'
20: param_1_biomass1='0.05', param_2_biomass2='0.0001', param_3_gly1='-5', param_4_gly2='-10'
21: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-0.1', param_4_gly2='-5'
22: param_1_biomass1='0.005', param_2_biomass2='0.005', param_3_gly1='-5', param_4_gly2='-20'
23: param_1_biomass1='0.05', param_2_biomass2='0.005', param_3_gly1='-0.1', param_4_gly2='-6'
24: param_1_biomass1='0.05', param_2_biomass2='0.0005', param_3_gly1='-0.5', param_4_gly2='-0.1'
25: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-5'
26: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-0.1'
27: param_1_biomass1='0.025', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-1'
28: param_1_biomass1='0.001', param_2_biomass2='0.015', param_3_gly1='-1', param_4_gly2='-7.5'
29: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-15'
30: param_1_biomass1='0.1', param_2_biomass2='0.0005', param_3_gly1='-15', param_4_gly2='-10'
31: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-0.1', param_4_gly2='-2'
32: param_1_biomass1='0.02', param_2_biomass2='0.005', param_3_gly1='-10', param_4_gly2='-4'
33: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-20', param_4_gly2='-6'
34: param_1_biomass1='0.0005', param_2_biomass2='0.015', param_3_gly1='-3', param_4_gly2='-2'
35: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-4'
36: param_1_biomass1='0.005', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-10'
37: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-15', param_4_gly2='-6'
38: param_1_biomass1='0.0005', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-3'
39: param_1_biomass1='0.0001', param_2_biomass2='0.02', param_3_gly1='-4', param_4_gly2='-7.5'
40: param_1_biomass1='0.05', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-5'
41: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-6', param_4_gly2='-20'
42: param_1_biomass1='0.05', param_2_biomass2='0.025', param_3_gly1='-20', param_4_gly2='-6'
43: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-2', param_4_gly2='-15'
44: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-7.5'
45: param_1_biomass1='0.001', param_2_biomass2='0.005', param_3_gly1='-0.1', param_4_gly2='-6'
46: param_1_biomass1='0.03', param_2_biomass2='0.05', param_3_gly1='-6', param_4_gly2='-20'
47: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-1', param_4_gly2='-4'
48: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-7.5'
49: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-20', param_4_gly2='-10'
50: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-6'
51: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-2', param_4_gly2='-4'
52: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-10', param_4_gly2='-20'
53: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-0.1', param_4_gly2='-2'
54: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-4'
55: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-15'
56: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-2'
57: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-6'
58: param_1_biomass1='0.005', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-3'
59: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-7.5'
60: param_1_biomass1='0.015', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-4'
61: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-10'
62: param_1_biomass1='0.0005', param_2_biomass2='0.1', param_3_gly1='-2', param_4_gly2='-3'
63: param_1_biomass1='0.03', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-15'
64: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-0.5', param_4_gly2='-10'
65: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-6'
66: param_1_biomass1='0.03', param_2_biomass2='0.05', param_3_gly1='-7.5', param_4_gly2='-2'
67: param_1_biomass1='0.015', param_2_biomass2='0.03', param_3_gly1='-0.1', param_4_gly2='-7.5'
68: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-3'
69: param_1_biomass1='0.001', param_2_biomass2='0.1', param_3_gly1='-4', param_4_gly2='-10'
70: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-3'
71: param_1_biomass1='0.05', param_2_biomass2='0.015', param_3_gly1='-2', param_4_gly2='-10'
72: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-3'
73: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.5', param_4_gly2='-7.5'
74: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-2'
75: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.1', param_4_gly2='-10'
76: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-10', param_4_gly2='-3'
77: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-7.5', param_4_gly2='-4'
78: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-1', param_4_gly2='-1'
79: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-6', param_4_gly2='-7.5'
80: param_1_biomass1='0.0005', param_2_biomass2='0.025', param_3_gly1='-3', param_4_gly2='-20'
81: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-6', param_4_gly2='-6'
82: param_1_biomass1='0.01', param_2_biomass2='0.03', param_3_gly1='-3', param_4_gly2='-5'
83: param_1_biomass1='0.03', param_2_biomass2='0.005', param_3_gly1='-7.5', param_4_gly2='-7.5'
84: param_1_biomass1='0.015', param_2_biomass2='0.01', param_3_gly1='-0.1', param_4_gly2='-6'
85: param_1_biomass1='0.01', param_2_biomass2='0.01', param_3_gly1='-3', param_4_gly2='-4'
86: param_1_biomass1='0.001', param_2_biomass2='0.0005', param_3_gly1='-0.5', param_4_gly2='-2'
