Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
42,42,1,-2.3656172062,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3656172062,4,0.0,SAT,,73.984,
43,43,1,-2.3596280657,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3596280657,4,0.0,SAT,,68.907,
44,44,1,-2.3825284994,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3825284994,5,0.0,SAT,,102.564,
45,45,1,0.31293966987,0,1.7976931348623157E308,-1,0.0,0.0,1,0.31293966987,5,0.0,SAT,,131.366,
46,46,1,-2.1448016235,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.1448016235,5,0.0,SAT,,145.212,
47,47,1,-0.7373548516999999,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.7373548516999999,5,0.0,SAT,,143.713,
48,48,1,-2.3783014746,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3783014746,5,0.0,SAT,,130.455,
49,49,1,-1.5629685849000001,0,1.7976931348623157E308,-1,0.0,0.0,1,-1.5629685849000001,5,0.0,SAT,,148.33,
50,50,1,-2.3825284994,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3825284994,5,0.0,SAT,,107.377,
51,51,1,-2.3813869677,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3813869677,5,0.0,SAT,,80.937,
52,52,1,-2.3783014746,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3783014746,5,0.0,SAT,,117.209,
53,53,1,-0.8603843282999999,0,1.7976931348623157E308,-1,0.0,0.0,1,-0.8603843282999999,5,0.0,SAT,,128.013,
54,54,1,-2.3825284994,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3825284994,5,0.0,SAT,,104.204,
55,55,1,-2.3813869677,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3813869677,6,0.0,SAT,,89.719,
56,56,1,-2.3617820597,0,1.7976931348623157E308,-1,0.0,0.0,1,-2.3617820597,6,0.0,SAT,,72.689,
